Quý,Doanh thu bán hàng và cung cấp dịch vụ,2. Các khoản giảm trừ doanh thu,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),4. Giá vốn hàng bán,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),6. Doanh thu hoạt động tài chính,7. Chi phí tài chính, Trong đó: Chi phí lãi vay,"8. Phần lãi lỗ trong công ty liên doanh, liên kết",9. Chi phí bán hàng,10. Chi phí quản lý doanh nghiệp,11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},12. Thu nhập khác,13. Chi phí khác,14. Lợi nhuận khác(40=31-32),15. Tổng lợi nhuận kế toán trước thuế(50=30+40),16. Chi phí thuế TNDN hiện hành,17. Chi phí thuế TNDN hoãn lại,18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),19. Lợi nhuận sau thuế công ty mẹ,20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,21. Lãi cơ bản trên cổ phiếu(),22. Lãi suy giảm trên cổ phiếu ()
'1/2008,,,,,,,,,,,,,,,,,,,,,,,
'2/2008,,,,,,,,,,,,,,,,,,,,,,,
'3/2008,,,,,,,,,,,,,,,,,,,,,,,
'4/2008,,,,,,,,,,,,,,,,,,,,,,,
'1/2009,,,,,,,,,,,,,,,,,,,,,,,
'2/2009,,,,,,,,,,,,,,,,,,,,,,,
'3/2009,,,,,,,,,,,,,,,,,,,,,,,
'4/2009,,,,,,,,,,,,,,,,,,,,,,,
'1/2010,,,,,,,,,,,,,,,,,,,,,,,
'2/2010,,,,,,,,,,,,,,,,,,,,,,,
'3/2010,,,,,,,,,,,,,,,,,,,,,,,
'4/2010,,,,,,,,,,,,,,,,,,,,,,,
'1/2011,,,,,,,,,,,,,,,,,,,,,,,
'2/2011,,,,,,,,,,,,,,,,,,,,,,,
'3/2011,,,,,,,,,,,,,,,,,,,,,,,
'4/2011,,,,,,,,,,,,,,,,,,,,,,,
'1/2012,,,,,,,,,,,,,,,,,,,,,,,
'2/2012,,,,,,,,,,,,,,,,,,,,,,,
'3/2012,,,,,,,,,,,,,,,,,,,,,,,
'4/2012,,,,,,,,,,,,,,,,,,,,,,,
'1/2013,,,,,,,,,,,,,,,,,,,,,,,
'2/2013,,,,,,,,,,,,,,,,,,,,,,,
'3/2013,,,,,,,,,,,,,,,,,,,,,,,
'4/2013,,,,,,,,,,,,,,,,,,,,,,,
'1/2014,,,,,,,,,,,,,,,,,,,,,,,
'2/2014,,,,,,,,,,,,,,,,,,,,,,,
'3/2014,,,,,,,,,,,,,,,,,,,,,,,
'4/2014,,,,,,,,,,,,,,,,,,,,,,,
'1/2015,,,,,,,,,,,,,,,,,,,,,,,
'2/2015,,,,,,,,,,,,,,,,,,,,,,,
'3/2015,,,,,,,,,,,,,,,,,,,,,,,
'4/2015,,,,,,,,,,,,,,,,,,,,,,,
'1/2016,"3,297,327,423,296",,"3,297,327,423,296","3,149,358,311,985","147,969,111,311","57,776,992,885","719,488,508,603","147,130,347,169","137,878,817,551","215,849,273,675","419,525,299,833","-1,011,238,160,364","23,149,985,679","17,960,986,729","5,188,998,950","-1,006,049,161,414","66,359,510,553","-66,233,238,313","-1,006,175,433,654","-801,711,660,688","-204,463,772,966",-555,
'2/2016,"3,703,728,343,904",,"3,703,728,343,904","3,064,953,186,924","638,775,156,980","125,561,990,158","1,120,143,730,847","153,742,162,129","155,571,257,104","275,094,498,572","337,932,325,449","-813,262,150,626","4,931,179,038","44,201,439,436","-39,270,260,398","-852,532,411,024","115,027,274,874","138,389,042,983","-1,105,948,728,881","-855,866,040,879","-250,082,688,002",-619,
'3/2016,,,,,,,,,,,,,,,,,,,,,,,
