Quý,I. Lưu chuyển tiền từ hoạt động kinh doanh,1. Lợi nhuận trước thuế,2. Điều chỉnh cho các khoản, Khấu hao TSCĐ và BĐSĐT, Các khoản dự phòng," Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ"," Lãi, lỗ từ hoạt động đầu tư", Chi phí lãi vay, Các khoản điều chỉnh khác,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động," Tăng, giảm các khoản phải thu"," Tăng, giảm hàng tồn kho"," Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)"," Tăng, giảm chi phí trả trước"," Tăng, giảm chứng khoán kinh doanh", Tiền lãi vay đã trả, Thuế thu nhập doanh nghiệp đã nộp, Tiền thu khác từ hoạt động kinh doanh, Tiền chi khác cho hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,II. Lưu chuyển tiền từ hoạt động đầu tư,"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",5.Tiền chi đầu tư góp vốn vào đơn vị khác,6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",Lưu chuyển tiền thuần từ hoạt động đầu tư,III. Lưu chuyển tiền từ hoạt động tài chính,"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","2.Tiền trả lại vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",3.Tiền thu từ đi vay,4.Tiền chi trả nợ gốc vay,5.Tiền chi trả nợ gốc thuê tài chính,"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",7. Tiền thu từ vốn góp của cổ đông không kiểm soát,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),Tiền và tương đương tiền đầu kỳ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Tiền và tương đương tiền cuối kỳ
'1/2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2/2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'3/2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'4/2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'3/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'4/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2/2010,,"9,314,321,856",,"621,012,049","2,480,000",,"-4,664,074,985","124,243,055",,"5,397,981,975","4,630,959,296","-33,093,427","1,922,613,584","4,172,497,084",,"-124,243,055","-246,490,060","250,000,000","-5,400,000","15,964,825,397",,"-9,818,606,670",,"-148,020,480,000",,"-46,864,674,094",,"1,162,391,654","-203,541,369,110",,"194,000,000,000",,"908,886,510","-3,091,300,166",,,,"191,817,586,344","4,241,042,631","114,871,699",,"4,355,914,330"
'3/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'4/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1/2011,,,,"2,512,152,858","-2,480,000",,,,,"20,295,037,484","-51,684,947,814","-1,694,648,642","69,057,928,646","-1,912,322,910",,"-1,788,000,000","-7,882,319,999","3,638,765,738","-3,346,922,699","24,682,569,804",,"-15,259,088,901",,,"8,080,478,000","-159,253,802,685",,"2,286,972,448","-164,145,441,138",,,,"135,741,113,490",,,,,"135,741,113,490","-3,721,757,844","4,355,914,330",,"634,156,486"
