Quý,Doanh thu bán hàng và cung cấp dịch vụ,2. Các khoản giảm trừ doanh thu,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),4. Giá vốn hàng bán,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),6. Doanh thu hoạt động tài chính,7. Chi phí tài chính, Trong đó: Chi phí lãi vay,"8. Phần lãi lỗ trong công ty liên doanh, liên kết",9. Chi phí bán hàng,10. Chi phí quản lý doanh nghiệp,11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},12. Thu nhập khác,13. Chi phí khác,14. Lợi nhuận khác(40=31-32),15. Tổng lợi nhuận kế toán trước thuế(50=30+40),16. Chi phí thuế TNDN hiện hành,17. Chi phí thuế TNDN hoãn lại,18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),19. Lợi nhuận sau thuế công ty mẹ,20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,21. Lãi cơ bản trên cổ phiếu(),22. Lãi suy giảm trên cổ phiếu ()
'1/2008,,,,,,,,,,,,,,,,,,,,,,,
'2/2008,,,,,,,,,,,,,,,,,,,,,,,
'3/2008,,,,,,,,,,,,,,,,,,,,,,,
'4/2008,,,,,,,,,,,,,,,,,,,,,,,
'1/2009,,,,,,,,,,,,,,,,,,,,,,,
'2/2009,,,,,,,,,,,,,,,,,,,,,,,
'3/2009,,,,,,,,,,,,,,,,,,,,,,,
'4/2009,,,,,,,,,,,,,,,,,,,,,,,
'1/2010,,,,,,,,,,,,,,,,,,,,,,,
'2/2010,"40,034,222,488","25,429,483,035","14,604,739,453","3,402,060,355","11,202,679,098","1,313,462,540","151,941,215","151,941,215",,"1,366,000","1,725,021,604","10,485,871,604","11,946,544","1,359,635,715","-1,347,689,171","9,138,182,433","2,284,545,608",,"6,853,636,825","6,853,636,825",,403,
'3/2010,,,,,,,,,,,,,,,,,,,,,,,
'4/2010,,,,,,,,,,,,,,,,,,,,,,,
'1/2011,"22,007,655,255",,"22,007,655,255","20,065,058,333","1,942,596,922","6,602,471,351","164,005,693","164,005,693",,,"4,137,553,072","3,846,459,508","2,661,760",,"2,661,760","3,849,121,268","964,362,001",,"2,884,759,267","2,882,874,678",,170,
'2/2011,"25,415,737,273",,"25,415,737,273","23,518,217,910","1,897,519,363","3,471,855,672","10,000","10,000",,"4,486,363","4,452,004,395","912,874,277","128,504,870","97,760","128,407,110","-1,801,351,833","493,673,365",,"-2,295,025,198","-2,333,336,795",,,
'3/2011,"12,449,977,567",,"12,449,977,567","9,854,627,490","2,595,350,077","3,140,360,610","96,669,833","96,669,833",,,"5,059,361,160","579,679,694","1,088,063",,"1,088,063","3,347,844,755","648,936,328",,"90,192,699","35,548,799",,,
'4/2011,"76,327,828,605",,"76,327,828,605","72,493,657,886","3,834,170,719","28,357,500,049","13,609,859,090","13,609,859,090",,"805,791,757","6,834,804,272","11,338,375,049","41,733,165","190,500,001","-148,766,836","14,146,712,089","3,106,834,522",,"11,039,877,567","11,080,073,753",,,
'1/2012,"34,028,263,460",,"34,028,263,460","32,106,767,751","1,921,495,709","9,598,647,606","5,228,287,081","5,228,287,081",,"337,404,074","5,246,449,576","692,035,752","4,720,108","3,760,550","959,558","536,514,187","271,169,980",,"265,344,207","203,742,584",,12,
'2/2012,"177,690,385,809",,"177,690,385,809","174,997,802,594","2,692,583,215","8,848,080,827","209,980,901","209,980,901",,"298,970,766","7,570,277,065","1,287,374,600","41,558,903","137,122,163","-95,563,260","5,824,873,394","585,314,065",,"5,239,559,329","5,289,721,790",,311,
'3/2012,"186,966,551,581",,"186,966,551,581","184,333,012,860","2,633,538,721","14,158,187,405","1,241,413,979","1,241,413,979",,"320,615,265","8,565,794,853","2,489,382,105","8,498,649","93,512,870","-85,014,221","1,647,205,055","923,752,378",,"723,452,677","800,808,688",,10,
