Quý,Doanh thu bán hàng và cung cấp dịch vụ,2. Các khoản giảm trừ doanh thu,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),4. Giá vốn hàng bán,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),6. Doanh thu hoạt động tài chính,7. Chi phí tài chính, Trong đó: Chi phí lãi vay,"8. Phần lãi lỗ trong công ty liên doanh, liên kết",9. Chi phí bán hàng,10. Chi phí quản lý doanh nghiệp,11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},12. Thu nhập khác,13. Chi phí khác,14. Lợi nhuận khác(40=31-32),15. Tổng lợi nhuận kế toán trước thuế(50=30+40),16. Chi phí thuế TNDN hiện hành,17. Chi phí thuế TNDN hoãn lại,18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),19. Lợi nhuận sau thuế công ty mẹ,20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,21. Lãi cơ bản trên cổ phiếu(),22. Lãi suy giảm trên cổ phiếu ()
'1/2008,,,,,,,,,,,,,,,,,,,,,,,
'2/2008,,,,,,,,,,,,,,,,,,,,,,,
'3/2008,,,,,,,,,,,,,,,,,,,,,,,
'4/2008,,,,,,,,,,,,,,,,,,,,,,,
'1/2009,,,,,,,,,,,,,,,,,,,,,,,
'2/2009,,,,,,,,,,,,,,,,,,,,,,,
'3/2009,,,,,,,,,,,,,,,,,,,,,,,
'4/2009,,,,,,,,,,,,,,,,,,,,,,,
'1/2010,,,,,,,,,,,,,,,,,,,,,,,
'2/2010,,,,,,,,,,,,,,,,,,,,,,,
'3/2010,,,,,,,,,,,,,,,,,,,,,,,
'4/2010,,,,,,,,,,,,,,,,,,,,,,,
'1/2011,,,,,,,,,,,,,,,,,,,,,,,
'2/2011,,,,,,,,,,,,,,,,,,,,,,,
'3/2011,,,,,,,,,,,,,,,,,,,,,,,
'4/2011,,,,,,,,,,,,,,,,,,,,,,,
'1/2012,,,,,,,,,,,,,,,,,,,,,,,
'2/2012,,,,,,,,,,,,,,,,,,,,,,,
'3/2012,,,,,,,,,,,,,,,,,,,,,,,
'4/2012,,,,,,,,,,,,,,,,,,,,,,,
'1/2013,,,,,,,,,,,,,,,,,,,,,,,
'2/2013,,,,,,,,,,,,,,,,,,,,,,,
'3/2013,,,,,,,,,,,,,,,,,,,,,,,
'4/2013,,,,,,,,,,,,,,,,,,,,,,,
'1/2014,,,,,,,,,,,,,,,,,,,,,,,
'2/2014,,,,,,,,,,,,,,,,,,,,,,,
'3/2014,,,,,,,,,,,,,,,,,,,,,,,
'4/2014,,,,,,,,,,,,,,,,,,,,,,,
'1/2015,,,,,,,,,,,,,,,,,,,,,,,
'2/2015,,,,,,,,,,,,,,,,,,,,,,,
'3/2015,,,,,,,,,,,,,,,,,,,,,,,
'4/2015,,,,,,,,,,,,,,,,,,,,,,,
'1/2016,,,,,,,,,,,,,,,,,,,,,,,
'2/2016,,,,,,,,,,,,,,,,,,,,,,,
'3/2016,,,,,,,,,,,,,,,,,,,,,,,
'4/2016,,,,,,,,,,,,,,,,,,,,,,,
'1/2017,,,,,,,,,,,,,,,,,,,,,,,
'2/2017,"3,160,935,757,895","139,186,459,372","3,021,749,298,523","2,570,495,568,633","451,253,729,890","11,323,107,777","24,314,011,087","22,520,821,187",,"294,251,230,979","70,402,959,585","73,608,636,016","6,970,065,154","61,053,511","6,909,011,643","80,517,647,659","16,103,529,532",,"64,414,118,127","64,414,118,127",,,
'3/2017,"3,004,073,295,524","128,146,232,564","2,875,927,062,960","2,430,715,132,314","445,211,930,646","11,057,243,515","16,619,334,650","15,878,874,743",,"304,708,646,140","63,826,802,477","71,114,390,894","7,186,037,212","373,227,470","6,812,809,742","77,927,200,636","15,585,440,126",,"62,341,760,510","62,341,760,510",,,
