Quý,TÀI SẢN,A- TÀI SẢN NGẮN HẠN,I. Tiền và các khoản tương đương tiền,1. Tiền,2. Các khoản tương đương tiền,II. Các khoản đầu tư tài chính ngắn hạn,1. Chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh,3. Đầu tư nắm giữ đến ngày đáo hạn,III. Các khoản phải thu ngắn hạn,1. Phải thu ngắn hạn của khách hàng,2. Trả trước cho người bán ngắn hạn,3. Phải thu nội bộ ngắn hạn,4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,5. Phải thu về cho vay ngắn hạn,6. Phải thu ngắn hạn khác,7. Dự phòng phải thu ngắn hạn khó đòi,8. Tài sản Thiếu chờ xử lý,IV. Hàng tồn kho,1. Hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,V.Tài sản ngắn hạn khác,1. Chi phí trả trước ngắn hạn,2. Thuế GTGT được khấu trừ,3. Thuế và các khoản khác phải thu Nhà nước,4. Giao dịch mua bán lại trái phiếu Chính phủ,5. Tài sản ngắn hạn khác,B. TÀI SẢN DÀI HẠN,I. Các khoản phải thu dài hạn,1. Phải thu dài hạn của khách hàng,2. Trả trước cho người bán dài hạn,3. Vốn kinh doanh ở đơn vị trực thuộc,4. Phải thu nội bộ dài hạn,5. Phải thu về cho vay dài hạn,6. Phải thu dài hạn khác,7. Dự phòng phải thu dài hạn khó đòi,II.Tài sản cố định,1. Tài sản cố định hữu hình, Nguyên giá, Giá trị hao mòn lũy kế,2. Tài sản cố định thuê tài chính, Nguyên giá.1, Giá trị hao mòn lũy kế.1,3. Tài sản cố định vô hình, Nguyên giá.2, Giá trị hao mòn lũy kế.2,III. Bất động sản đầu tư, Nguyên giá.3, Giá trị hao mòn lũy kế.3,IV. Tài sản dở dang dài hạn,"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",2. Chi phí xây dựng cơ bản dở dang,V. Đầu tư tài chính dài hạn,1. Đầu tư vào công ty con,"2. Đầu tư vào công ty liên kết, liên doanh",3. Đầu tư góp vốn vào đơn vị khác,4. Dự phòng đầu tư tài chính dài hạn,5. Đầu tư nắm giữ đến ngày đáo hạn,VI. Tài sản dài hạn khác,1. Chi phí trả trước dài hạn,2. Tài sản thuế thu nhập hoãn lại,"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",4. Tài sản dài hạn khác,5. Lợi thế thương mại,TỔNG CỘNG TÀI SẢN,NGUỒN VỐN,C. NỢ PHẢI TRẢ,I. Nợ ngắn hạn,1. Phải trả người bán ngắn hạn,2. Người mua trả tiền trước ngắn hạn,3. Thuế và các khoản phải nộp nhà nước,4. Phải trả người lao động,5. Chi phí phải trả ngắn hạn,6. Phải trả nội bộ ngắn hạn,7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,8. Doanh thu chưa thực hiện ngắn hạn,9. Phải trả ngắn hạn khác,10. Vay và nợ thuê tài chính ngắn hạn,11. Dự phòng phải trả ngắn hạn,12. Quỹ khen thưởng phúc lợi,13. Quỹ bình ổn giá,14. Giao dịch mua bán lại trái phiếu Chính phủ,II. Nợ dài hạn,1. Phải trả người bán dài hạn,2. Người mua trả tiền trước dài hạn,3. Chi phí phải trả dài hạn,4. Phải trả nội bộ về vốn kinh doanh,5. Phải trả nội bộ dài hạn,6. Doanh thu chưa thực hiện dài hạn,7. Phải trả dài hạn khác,8. Vay và nợ thuê tài chính dài hạn,9. Trái phiếu chuyển đổi,10. Cổ phiếu ưu đãi,11. Thuế thu nhập hoãn lại phải trả,12. Dự phòng phải trả dài hạn,13. Quỹ phát triển khoa học và công nghệ,D.VỐN CHỦ SỞ HỮU,I. Vốn chủ sở hữu,1. Vốn góp của chủ sở hữu, Cổ phiếu phổ thông có quyền biểu quyết, Cổ phiếu ưu đãi,2. Thặng dư vốn cổ phần,3. Quyền chọn chuyển đổi trái phiếu,4. Vốn khác của chủ sở hữu,5. Cổ phiếu quỹ,6. Chênh lệch đánh giá lại tài sản,7. Chênh lệch tỷ giá hối đoái,8. Quỹ đầu tư phát triển,9. Quỹ hỗ trợ sắp xếp doanh nghiệp,10. Quỹ khác thuộc vốn chủ sở hữu,11. Lợi nhuận sau thuế chưa phân phối, LNST chưa phân phối lũy kế đến cuối kỳ trước, LNST chưa phân phối kỳ này,12. Nguồn vốn đầu tư XDCB,13. Lợi ích cổ đông không kiểm soát,II. Nguồn kinh phí và quỹ khác,1. Nguồn kinh phí,2. Nguồn kinh phí đã hình thành TSCĐ,TỔNG CỘNG NGUỒN VỐN
'1/2008,,"3,849,009,101,068","510,218,287,249","253,418,287,249","256,800,000,000","734,385,999,000",,,,"720,175,258,324","472,868,078,061","197,654,672,523",,,,"58,930,709,844","9,278,202,104",,"1,820,239,669,743","1,999,879,190,602","179,639,520,859","63,989,886,752","5,502,046,195","38,927,634,634","3,914,401,984",,"15,645,803,939","1,790,365,447,257","43,404,000",,,,,,"43,404,000",,"1,265,421,455,951","877,668,572,169","1,439,883,857,293","562,215,285,124","12,691,678,733","16,488,423,548","3,796,744,815","264,612,717,186","270,155,360,706","5,542,643,520",,,,,,"110,448,487,863","380,605,806,896",,"380,585,806,896","20,000,000",,,"125,964,279,734","106,670,235,528","19,159,968,886",,,,"5,639,374,548,325",,"1,294,098,304,111","1,256,330,621,478","295,758,522,868","225,254,924,087","83,384,015,509","18,664,497,077","19,204,262,543",,,,,,,,,,"37,767,682,633",,,,,,,"2,264,602,362","6,035,190,854",,,"944,226,332","9,991,735,000",,"4,111,066,885,721","4,070,660,719,967","1,963,639,980,000",,,"1,620,900,010,000",,,,,"6,052,555,381",,,,"415,743,316,148",,,,,"40,406,165,754",,,"5,639,374,548,325"
'2/2008,,"3,849,009,101,068","510,218,287,249","253,418,287,249","256,800,000,000","734,385,999,000",,,,"720,175,258,324","472,868,078,061","197,654,672,523",,,,"58,930,709,844","-9,278,202,104",,"1,820,239,669,743","1,999,879,190,602","-179,639,520,859","63,989,886,752","5,502,046,195","38,927,634,634","3,914,401,984",,"15,645,803,939","1,790,365,447,257","43,404,000",,,,,,"43,404,000",,"1,265,421,455,951","877,668,572,169","1,439,883,857,293","-562,215,285,124","12,691,678,733","16,488,423,548","-3,796,744,815","264,612,717,186","270,155,360,706","-5,542,643,520",,,,,,"110,448,487,863","380,605,806,896",,"380,585,806,896","20,000,000",,,"125,964,279,734","106,670,235,528","19,159,968,886",,,,"5,639,374,548,325",,"1,294,098,304,111","1,256,330,621,478","295,758,522,868","225,254,924,087","83,384,015,509","18,664,497,077","19,204,262,543",,,,,,,,,,"37,767,682,633",,,,,,,"2,264,602,362","6,035,190,854",,,"944,226,332","9,991,735,000",,"4,111,066,885,721","4,070,660,719,967","1,963,639,980,000",,,"1,620,900,010,000",,,,,"-6,052,555,381",,,,"415,743,316,148",,,,,"40,406,165,754",,,"5,639,374,548,325"
'3/2008,,"3,849,009,101,068","510,218,287,249","253,418,287,249","256,800,000,000","734,385,999,000",,,,"720,175,258,324","472,868,078,061","197,654,672,523",,,,"58,930,709,844","-9,278,202,104",,"1,820,239,669,743","1,999,879,190,602","-179,639,520,859","63,989,886,752","5,502,046,195","38,927,634,634","3,914,401,984",,"15,645,803,939","1,790,365,447,257","43,404,000",,,,,,"43,404,000",,"1,265,421,455,951","877,668,572,169","1,439,883,857,293","-562,215,285,124","12,691,678,733","16,488,423,548","-3,796,744,815","264,612,717,186","270,155,360,706","-5,542,643,520",,,,,,"110,448,487,863","380,605,806,896",,"380,585,806,896","20,000,000",,,"125,964,279,734","106,670,235,528","19,159,968,886",,,,"5,639,374,548,325",,"1,294,098,304,111","1,256,330,621,478","295,758,522,868","225,254,924,087","83,384,015,509","18,664,497,077","19,204,262,543",,,,,,,,,,"37,767,682,633",,,,,,,"2,264,602,362","6,035,190,854",,,"944,226,332","9,991,735,000",,"4,111,066,885,721","4,070,660,719,967","1,963,639,980,000",,,"1,620,900,010,000",,,,,"-6,052,555,381",,,,"415,743,316,148",,,,,"40,406,165,754",,,"5,639,374,548,325"
'4/2008,,"3,849,009,101,068","510,218,287,249","253,418,287,249","256,800,000,000","734,385,999,000",,,,"720,175,258,324","472,868,078,061","197,654,672,523",,,,"58,930,709,844","-9,278,202,104",,"1,820,239,669,743","1,999,879,190,602","-179,639,520,859","63,989,886,752","5,502,046,195","38,927,634,634","3,914,401,984",,"15,645,803,939","1,790,365,447,257","43,404,000",,,,,,"43,404,000",,"1,265,421,455,951","877,668,572,169","1,439,883,857,293","-562,215,285,124","12,691,678,733","16,488,423,548","-3,796,744,815","264,612,717,186","270,155,360,706","-5,542,643,520",,,,,,"110,448,487,863","380,605,806,896",,"380,585,806,896","20,000,000",,,"125,964,279,734","106,670,235,528","19,159,968,886",,,,"5,639,374,548,325",,"1,294,098,304,111","1,256,330,621,478","295,758,522,868","225,254,924,087","83,384,015,509","18,664,497,077","19,204,262,543",,,,,,,,,,"37,767,682,633",,,,,,,"2,264,602,362","6,035,190,854",,,"944,226,332","9,991,735,000",,"4,111,066,885,721","4,070,660,719,967","1,963,639,980,000",,,"1,620,900,010,000",,,,,"-6,052,555,381",,,,"415,743,316,148",,,,,"40,406,165,754",,,"5,639,374,548,325"
'1/2009,,"5,407,840,665,885","1,480,490,925,374","915,772,994,337","564,717,931,037","146,137,615,408",,,,"883,023,387,201","736,028,795,343","104,794,095,889",,,,"49,425,229,789","-7,224,733,820",,"2,556,676,319,108","2,564,854,388,112","-8,178,069,004","341,512,418,794","11,276,991,645","91,398,981,334","2,807,498,457",,"236,028,947,358","4,835,399,323,200","43,404,000",,,,,,"43,404,000",,"3,065,311,850,943","876,483,904,113","1,634,137,248,326","-757,653,344,213","11,677,291,317","16,488,423,548","-4,811,132,231","274,764,834,646","283,458,505,168","-8,693,670,522",,,,,,"1,902,385,820,867","1,101,992,112,536",,"930,972,112,536","171,020,000,000",,,"154,685,659,443","121,805,877,399","30,147,903,044",,,,"10,243,239,989,085",,"5,104,606,962,713","4,565,113,038,861","444,426,109,610","53,204,605,485","295,236,576,239","24,465,398,028","55,605,566,843",,,,,,"10,204,569,304",,,,"539,493,923,852",,,,,,,"9,554,858,112","503,747,790,221",,,"9,083,762",,,"4,898,775,649,293","4,825,091,164,581","1,963,639,980,000",,,"1,620,900,010,000",,,,,"-58,267,697,294",,,,"1,154,638,925,396",,,,,"73,684,484,712",,,"10,243,239,989,085"
'2/2009,,"5,407,840,665,885","1,480,490,925,374","915,772,994,337","564,717,931,037","146,137,615,408",,,,"883,023,387,201","736,028,795,343","104,794,095,889",,,,"49,425,229,789","-7,224,733,820",,"2,556,676,319,108","2,564,854,388,112","-8,178,069,004","341,512,418,794","11,276,991,645","91,398,981,334","2,807,498,457",,"236,028,947,358","4,835,399,323,200","43,404,000",,,,,,"43,404,000",,"3,065,311,850,943","876,483,904,113","1,634,137,248,326","-757,653,344,213","11,677,291,317","16,488,423,548","-4,811,132,231","274,764,834,646","283,458,505,168","-8,693,670,522",,,,,,"1,902,385,820,867","1,101,992,112,536",,"930,972,112,536","171,020,000,000",,,"154,685,659,443","121,805,877,399","30,147,903,044",,,,"10,243,239,989,085",,"5,104,606,962,713","4,565,113,038,861","444,426,109,610","53,204,605,485","295,236,576,239","24,465,398,028","55,605,566,843",,,,,,"10,204,569,304",,,,"539,493,923,852",,,,,,,"9,554,858,112","503,747,790,221",,,"9,083,762",,,"4,898,775,649,293","4,825,091,164,581","1,963,639,980,000",,,"1,620,900,010,000",,,,,"-58,267,697,294",,,,"1,154,638,925,396",,,,,"73,684,484,712",,,"10,243,239,989,085"
'3/2009,,"5,407,840,665,885","1,480,490,925,374","915,772,994,337","564,717,931,037","146,137,615,408",,,,"883,023,387,201","736,028,795,343","104,794,095,889",,,,"49,425,229,789","-7,224,733,820",,"2,556,676,319,108","2,564,854,388,112","-8,178,069,004","341,512,418,794","11,276,991,645","91,398,981,334","2,807,498,457",,"236,028,947,358","4,835,399,323,200","43,404,000",,,,,,"43,404,000",,"3,065,311,850,943","876,483,904,113","1,634,137,248,326","-757,653,344,213","11,677,291,317","16,488,423,548","-4,811,132,231","274,764,834,646","283,458,505,168","-8,693,670,522",,,,,,"1,902,385,820,867","1,101,992,112,536",,"930,972,112,536","171,020,000,000",,,"154,685,659,443","121,805,877,399","30,147,903,044",,,,"10,243,239,989,085",,"5,104,606,962,713","4,565,113,038,861","444,426,109,610","53,204,605,485","295,236,576,239","24,465,398,028","55,605,566,843",,,,,,"10,204,569,304",,,,"539,493,923,852",,,,,,,"9,554,858,112","503,747,790,221",,,"9,083,762",,,"4,898,775,649,293","4,825,091,164,581","1,963,639,980,000",,,"1,620,900,010,000",,,,,"-58,267,697,294",,,,"1,154,638,925,396",,,,,"73,684,484,712",,,"10,243,239,989,085"
'4/2009,,"5,407,840,665,885","1,480,490,925,374","915,772,994,337","564,717,931,037","146,137,615,408",,,,"883,023,387,201","736,028,795,343","104,794,095,889",,,,"49,425,229,789","-7,224,733,820",,"2,556,676,319,108","2,564,854,388,112","-8,178,069,004","341,512,418,794","11,276,991,645","91,398,981,334","2,807,498,457",,"236,028,947,358","4,835,399,323,200","43,404,000",,,,,,"43,404,000",,"3,065,311,850,943","876,483,904,113","1,634,137,248,326","-757,653,344,213","11,677,291,317","16,488,423,548","-4,811,132,231","274,764,834,646","283,458,505,168","-8,693,670,522",,,,,,"1,902,385,820,867","1,101,992,112,536",,"930,972,112,536","171,020,000,000",,,"154,685,659,443","121,805,877,399","30,147,903,044",,,,"10,243,239,989,085",,"5,104,606,962,713","4,565,113,038,861","444,426,109,610","53,204,605,485","295,236,576,239","24,465,398,028","55,605,566,843",,,,,,"10,204,569,304",,,,"539,493,923,852",,,,,,,"9,554,858,112","503,747,790,221",,,"9,083,762",,,"4,898,775,649,293","4,825,091,164,581","1,963,639,980,000",,,"1,620,900,010,000",,,,,"-58,267,697,294",,,,"1,154,638,925,396",,,,,"73,684,484,712",,,"10,243,239,989,085"
'1/2010,,"7,866,093,787,662","1,047,177,227,261","136,131,658,520","911,045,568,741","290,230,500,000",,,,"1,832,703,218,063","1,503,995,277,666","278,580,818,965",,,,"58,870,287,473","-8,743,166,041",,"4,540,810,505,212","4,549,531,050,816","-8,720,545,604","155,172,337,126","31,937,003,359","87,040,305,417","2,551,817,942",,"33,643,210,408","7,037,564,444,437","449,008,590,000",,,,,,"449,008,590,000",,"4,603,672,511,871","3,979,294,726,886","5,109,678,090,211","-1,130,383,363,325","10,662,903,383","16,488,423,548","-5,825,520,165","122,793,292,131","135,335,392,353","-12,542,100,222",,,,,,"490,921,589,471","708,792,906,574",,"573,650,566,574","135,142,340,000",,,"296,959,277,546","224,060,809,097","51,313,170,818",,,,"14,903,658,232,099",,"8,165,669,159,381","6,136,481,866,444","897,906,970,546","117,419,085,859","286,652,794,503","40,566,529,544","161,533,736,200",,,,,,"14,181,335,039","86,955,204,839",,,"2,029,187,292,937",,,,,,,"458,093,237,312","1,544,868,352,246",,,"756,764,907",,,"6,398,095,940,358","6,398,095,940,358","3,178,497,600,000",,,"2,257,862,350,000",,,,,"171,064,385",,,,"756,654,573,637",,,,,,,,"14,903,658,232,099"
'2/2010,,"7,866,093,787,662","1,047,177,227,261","136,131,658,520","911,045,568,741","290,230,500,000",,,,"1,832,703,218,063","1,503,995,277,666","278,580,818,965",,,,"58,870,287,473","-8,743,166,041",,"4,540,810,505,212","4,549,531,050,816","-8,720,545,604","155,172,337,126","31,937,003,359","87,040,305,417","2,551,817,942",,"33,643,210,408","7,037,564,444,437","449,008,590,000",,,,,,"449,008,590,000",,"4,603,672,511,871","3,979,294,726,886","5,109,678,090,211","-1,130,383,363,325","10,662,903,383","16,488,423,548","-5,825,520,165","122,793,292,131","135,335,392,353","-12,542,100,222",,,,,,"490,921,589,471","708,792,906,574",,"573,650,566,574","135,142,340,000",,,"296,959,277,546","224,060,809,097","51,313,170,818",,,,"14,903,658,232,099",,"8,165,669,159,381","6,136,481,866,444","897,906,970,546","117,419,085,859","286,652,794,503","40,566,529,544","161,533,736,200",,,,,,"14,181,335,039","86,955,204,839",,,"2,029,187,292,937",,,,,,,"458,093,237,312","1,544,868,352,246",,,"756,764,907",,,"6,398,095,940,358","6,398,095,940,358","3,178,497,600,000",,,"2,257,862,350,000",,,,,"171,064,385",,,,"756,654,573,637",,,,,,,,"14,903,658,232,099"
'3/2010,,"7,866,093,787,662","1,047,177,227,261","136,131,658,520","911,045,568,741","290,230,500,000",,,,"1,832,703,218,063","1,503,995,277,666","278,580,818,965",,,,"58,870,287,473","-8,743,166,041",,"4,540,810,505,212","4,549,531,050,816","-8,720,545,604","155,172,337,126","31,937,003,359","87,040,305,417","2,551,817,942",,"33,643,210,408","7,037,564,444,437","449,008,590,000",,,,,,"449,008,590,000",,"4,603,672,511,871","3,979,294,726,886","5,109,678,090,211","-1,130,383,363,325","10,662,903,383","16,488,423,548","-5,825,520,165","122,793,292,131","135,335,392,353","-12,542,100,222",,,,,,"490,921,589,471","708,792,906,574",,"573,650,566,574","135,142,340,000",,,"296,959,277,546","224,060,809,097","51,313,170,818",,,,"14,903,658,232,099",,"8,165,669,159,381","6,136,481,866,444","897,906,970,546","117,419,085,859","286,652,794,503","40,566,529,544","161,533,736,200",,,,,,"14,181,335,039","86,955,204,839",,,"2,029,187,292,937",,,,,,,"458,093,237,312","1,544,868,352,246",,,"756,764,907",,,"6,398,095,940,358","6,398,095,940,358","3,178,497,600,000",,,"2,257,862,350,000",,,,,"171,064,385",,,,"756,654,573,637",,,,,,,,"14,903,658,232,099"
'4/2010,,"7,866,093,787,662","1,047,177,227,261","136,131,658,520","911,045,568,741","290,230,500,000",,,,"1,832,703,218,063","1,503,995,277,666","278,580,818,965",,,,"58,870,287,473","-8,743,166,041",,"4,540,810,505,212","4,549,531,050,816","-8,720,545,604","155,172,337,126","31,937,003,359","87,040,305,417","2,551,817,942",,"33,643,210,408","7,037,564,444,437","449,008,590,000",,,,,,"449,008,590,000",,"4,603,672,511,871","3,979,294,726,886","5,109,678,090,211","-1,130,383,363,325","10,662,903,383","16,488,423,548","-5,825,520,165","122,793,292,131","135,335,392,353","-12,542,100,222",,,,,,"490,921,589,471","708,792,906,574",,"573,650,566,574","135,142,340,000",,,"296,959,277,546","224,060,809,097","51,313,170,818",,,,"14,903,658,232,099",,"8,165,669,159,381","6,136,481,866,444","897,906,970,546","117,419,085,859","286,652,794,503","40,566,529,544","161,533,736,200",,,,,,"14,181,335,039","86,955,204,839",,,"2,029,187,292,937",,,,,,,"458,093,237,312","1,544,868,352,246",,,"756,764,907",,,"6,398,095,940,358","6,398,095,940,358","3,178,497,600,000",,,"2,257,862,350,000",,,,,"171,064,385",,,,"756,654,573,637",,,,,,,,"14,903,658,232,099"
'1/2011,,"9,485,630,335,670","1,064,384,090,542","251,182,025,315","813,202,065,227",,,,,"1,897,393,185,237","1,525,539,693,581","339,013,436,605",,,,"45,922,451,245","-13,082,396,194",,"6,347,046,845,992","6,423,900,938,591","-76,854,092,599","176,806,213,899","59,828,574,679","76,064,998,076","15,008,421,862",,"25,904,219,282","8,039,052,690,405","449,008,590,000",,,,,,"449,008,590,000",,"5,919,927,446,732","4,391,699,339,919","6,051,631,907,556","-1,659,932,567,637","9,648,515,450","16,488,423,548","-6,839,908,098","164,262,941,291","181,890,035,603","-17,627,094,312",,,,,,"1,354,316,650,072","272,569,336,459",,"183,056,336,459","89,513,000,000",,,"432,990,546,690","343,590,859,015","70,094,330,044",,,,"17,524,683,026,075",,"9,561,051,849,556","6,646,566,078,572","941,732,961,241","39,916,738,424","245,561,340,161","49,327,751,519","328,305,902,437",,,,,,"11,577,689,249",,,,"2,914,485,770,984",,,,,,,"1,014,907,788,704","1,869,049,671,824",,,"2,688,299,655",,,"7,413,804,561,023","7,413,804,561,023","3,178,497,600,000",,,"2,257,862,350,000",,"313,613,480,000","-150,970,558,021",,"5,594,607,014",,,,"1,539,869,803,156",,,,,,,,"17,524,683,026,075"
'2/2011,,"9,485,630,335,670","1,064,384,090,542","251,182,025,315","813,202,065,227",,,,,"1,897,393,185,237","1,525,539,693,581","339,013,436,605",,,,"45,922,451,245","-13,082,396,194",,"6,347,046,845,992","6,423,900,938,591","-76,854,092,599","176,806,213,899","59,828,574,679","76,064,998,076","15,008,421,862",,"25,904,219,282","8,039,052,690,405","449,008,590,000",,,,,,"449,008,590,000",,"5,919,927,446,732","4,391,699,339,919","6,051,631,907,556","-1,659,932,567,637","9,648,515,450","16,488,423,548","-6,839,908,098","164,262,941,291","181,890,035,603","-17,627,094,312",,,,,,"1,354,316,650,072","272,569,336,459",,"183,056,336,459","89,513,000,000",,,"432,990,546,690","343,590,859,015","70,094,330,044",,,,"17,524,683,026,075",,"9,561,051,849,556","6,646,566,078,572","941,732,961,241","39,916,738,424","245,561,340,161","49,327,751,519","328,305,902,437",,,,,,"11,577,689,249",,,,"2,914,485,770,984",,,,,,,"1,014,907,788,704","1,869,049,671,824",,,"2,688,299,655",,,"7,413,804,561,023","7,413,804,561,023","3,178,497,600,000",,,"2,257,862,350,000",,"313,613,480,000","-150,970,558,021",,"5,594,607,014",,,,"1,539,869,803,156",,,,,,,,"17,524,683,026,075"
'3/2011,,"9,485,630,335,670","1,064,384,090,542","251,182,025,315","813,202,065,227",,,,,"1,897,393,185,237","1,525,539,693,581","339,013,436,605",,,,"45,922,451,245","-13,082,396,194",,"6,347,046,845,992","6,423,900,938,591","-76,854,092,599","176,806,213,899","59,828,574,679","76,064,998,076","15,008,421,862",,"25,904,219,282","8,039,052,690,405","449,008,590,000",,,,,,"449,008,590,000",,"5,919,927,446,732","4,391,699,339,919","6,051,631,907,556","-1,659,932,567,637","9,648,515,450","16,488,423,548","-6,839,908,098","164,262,941,291","181,890,035,603","-17,627,094,312",,,,,,"1,354,316,650,072","272,569,336,459",,"183,056,336,459","89,513,000,000",,,"432,990,546,690","343,590,859,015","70,094,330,044",,,,"17,524,683,026,075",,"9,561,051,849,556","6,646,566,078,572","941,732,961,241","39,916,738,424","245,561,340,161","49,327,751,519","328,305,902,437",,,,,,"11,577,689,249",,,,"2,914,485,770,984",,,,,,,"1,014,907,788,704","1,869,049,671,824",,,"2,688,299,655",,,"7,413,804,561,023","7,413,804,561,023","3,178,497,600,000",,,"2,257,862,350,000",,"313,613,480,000","-150,970,558,021",,"5,594,607,014",,,,"1,539,869,803,156",,,,,,,,"17,524,683,026,075"
'4/2011,,"9,485,630,335,670","1,064,384,090,542","251,182,025,315","813,202,065,227",,,,,"1,897,393,185,237","1,525,539,693,581","339,013,436,605",,,,"45,922,451,245","-13,082,396,194",,"6,347,046,845,992","6,423,900,938,591","-76,854,092,599","176,806,213,899","59,828,574,679","76,064,998,076","15,008,421,862",,"25,904,219,282","8,039,052,690,405","449,008,590,000",,,,,,"449,008,590,000",,"5,919,927,446,732","4,391,699,339,919","6,051,631,907,556","-1,659,932,567,637","9,648,515,450","16,488,423,548","-6,839,908,098","164,262,941,291","181,890,035,603","-17,627,094,312",,,,,,"1,354,316,650,072","272,569,336,459",,"183,056,336,459","89,513,000,000",,,"432,990,546,690","343,590,859,015","70,094,330,044",,,,"17,524,683,026,075",,"9,561,051,849,556","6,646,566,078,572","941,732,961,241","39,916,738,424","245,561,340,161","49,327,751,519","328,305,902,437",,,,,,"11,577,689,249",,,,"2,914,485,770,984",,,,,,,"1,014,907,788,704","1,869,049,671,824",,,"2,688,299,655",,,"7,413,804,561,023","7,413,804,561,023","3,178,497,600,000",,,"2,257,862,350,000",,"313,613,480,000","-150,970,558,021",,"5,594,607,014",,,,"1,539,869,803,156",,,,,,,,"17,524,683,026,075"
