Quý,I. Lưu chuyển tiền từ hoạt động kinh doanh,1. Lợi nhuận trước thuế,2. Điều chỉnh cho các khoản, Khấu hao TSCĐ và BĐSĐT, Các khoản dự phòng," Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ"," Lãi, lỗ từ hoạt động đầu tư", Chi phí lãi vay, Các khoản điều chỉnh khác,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động," Tăng, giảm các khoản phải thu"," Tăng, giảm hàng tồn kho"," Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)"," Tăng, giảm chi phí trả trước"," Tăng, giảm chứng khoán kinh doanh", Tiền lãi vay đã trả, Thuế thu nhập doanh nghiệp đã nộp, Tiền thu khác từ hoạt động kinh doanh, Tiền chi khác cho hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,II. Lưu chuyển tiền từ hoạt động đầu tư,"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",5.Tiền chi đầu tư góp vốn vào đơn vị khác,6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",Lưu chuyển tiền thuần từ hoạt động đầu tư,III. Lưu chuyển tiền từ hoạt động tài chính,"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","2.Tiền trả lại vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",3.Tiền thu từ đi vay,4.Tiền chi trả nợ gốc vay,5.Tiền chi trả nợ gốc thuê tài chính,"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",7. Tiền thu từ vốn góp của cổ đông không kiểm soát,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),Tiền và tương đương tiền đầu kỳ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Tiền và tương đương tiền cuối kỳ
'1/2008,,"1,018,629,483,945",,"176,801,433,986","181,457,986,477","2,203,508,791","125,088,794,821","74,436,977,629",,"1,328,440,596,007","59,212,209,063","426,467,721,621","157,771,730,720","83,903,693,466",,"104,462,988,946","212,065,352,412","63,212,439,458","41,306,475,253","622,006,325,424",,"463,641,157,140","1,852,095,190","2,917,330,224,068","2,599,819,445,068","183,500,000,000","200,000,000,000","104,051,281,762","658,748,559,188",,"678,750,000,000","4,043,835,946,353",,"4,132,818,305,654","2,245,334,333","439,891,139,986",,"147,631,166,380","110,888,932,616","399,322,647,501","6,707,132","510,218,287,249"
'2/2008,,"1,018,629,483,945",,"176,801,433,986","181,457,986,477","2,203,508,791","-125,088,794,821","74,436,977,629",,"1,328,440,596,007","-59,212,209,063","-426,467,721,621","157,771,730,720","-83,903,693,466",,"-104,462,988,946","-212,065,352,412","63,212,439,458","-41,306,475,253","622,006,325,424",,"-463,641,157,140","1,852,095,190","-2,917,330,224,068","2,599,819,445,068","-183,500,000,000","200,000,000,000","104,051,281,762","-658,748,559,188",,"678,750,000,000","4,043,835,946,353",,"-4,132,818,305,654","-2,245,334,333","-439,891,139,986",,"147,631,166,380","110,888,932,616","399,322,647,501","6,707,132","510,218,287,249"
'3/2008,,"1,018,629,483,945",,"176,801,433,986","181,457,986,477","2,203,508,791","-125,088,794,821","74,436,977,629",,"1,328,440,596,007","-59,212,209,063","-426,467,721,621","157,771,730,720","-83,903,693,466",,"-104,462,988,946","-212,065,352,412","63,212,439,458","-41,306,475,253","622,006,325,424",,"-463,641,157,140","1,852,095,190","-2,917,330,224,068","2,599,819,445,068","-183,500,000,000","200,000,000,000","104,051,281,762","-658,748,559,188",,"678,750,000,000","4,043,835,946,353",,"-4,132,818,305,654","-2,245,334,333","-439,891,139,986",,"147,631,166,380","110,888,932,616","399,322,647,501","6,707,132","510,218,287,249"
'4/2008,,"1,018,629,483,945",,"176,801,433,986","181,457,986,477","2,203,508,791","-125,088,794,821","74,436,977,629",,"1,328,440,596,007","-59,212,209,063","-426,467,721,621","157,771,730,720","-83,903,693,466",,"-104,462,988,946","-212,065,352,412","63,212,439,458","-41,306,475,253","622,006,325,424",,"-463,641,157,140","1,852,095,190","-2,917,330,224,068","2,599,819,445,068","-183,500,000,000","200,000,000,000","104,051,281,762","-658,748,559,188",,"678,750,000,000","4,043,835,946,353",,"-4,132,818,305,654","-2,245,334,333","-439,891,139,986",,"147,631,166,380","110,888,932,616","399,322,647,501","6,707,132","510,218,287,249"
'1/2009,,"1,509,979,337,847",,"222,867,944,515","-183,665,314,449","82,707,770","-105,269,346,526","76,177,480,256",,"1,520,172,809,413","631,941,882,432","-1,062,448,213,617","-667,519,768,296","-11,129,357,107",,"-108,212,085,175","-51,677,033,815","17,691,457,489","-350,857,410,034","-82,037,718,710",,"-1,458,256,687,573","9,459,872,168","-118,985,000,000","659,433,383,592","-1,177,004,497,177","647,047,812","123,734,925,126","-1,960,970,956,052",,"1,428,720,000",,"8,163,590,489,922","-4,751,922,352,762","-1,680,268,449","-394,439,393,734",,"3,016,977,194,977","973,968,520,215","510,218,287,249","-3,695,882,090","1,480,490,925,374"
'2/2009,,"1,509,979,337,847",,"222,867,944,515","-183,665,314,449","82,707,770","-105,269,346,526","76,177,480,256",,"1,520,172,809,413","631,941,882,432","-1,062,448,213,617","-667,519,768,296","-11,129,357,107",,"-108,212,085,175","-51,677,033,815","17,691,457,489","-350,857,410,034","-82,037,718,710",,"-1,458,256,687,573","9,459,872,168","-118,985,000,000","659,433,383,592","-1,177,004,497,177","647,047,812","123,734,925,126","-1,960,970,956,052",,"1,428,720,000",,"8,163,590,489,922","-4,751,922,352,762","-1,680,268,449","-394,439,393,734",,"3,016,977,194,977","973,968,520,215","510,218,287,249","-3,695,882,090","1,480,490,925,374"
'3/2009,,"1,509,979,337,847",,"222,867,944,515","-183,665,314,449","82,707,770","-105,269,346,526","76,177,480,256",,"1,520,172,809,413","631,941,882,432","-1,062,448,213,617","-667,519,768,296","-11,129,357,107",,"-108,212,085,175","-51,677,033,815","17,691,457,489","-350,857,410,034","-82,037,718,710",,"-1,458,256,687,573","9,459,872,168","-118,985,000,000","659,433,383,592","-1,177,004,497,177","647,047,812","123,734,925,126","-1,960,970,956,052",,"1,428,720,000",,"8,163,590,489,922","-4,751,922,352,762","-1,680,268,449","-394,439,393,734",,"3,016,977,194,977","973,968,520,215","510,218,287,249","-3,695,882,090","1,480,490,925,374"
'4/2009,,"1,509,979,337,847",,"222,867,944,515","-183,665,314,449","82,707,770","-105,269,346,526","76,177,480,256",,"1,520,172,809,413","631,941,882,432","-1,062,448,213,617","-667,519,768,296","-11,129,357,107",,"-108,212,085,175","-51,677,033,815","17,691,457,489","-350,857,410,034","-82,037,718,710",,"-1,458,256,687,573","9,459,872,168","-118,985,000,000","659,433,383,592","-1,177,004,497,177","647,047,812","123,734,925,126","-1,960,970,956,052",,"1,428,720,000",,"8,163,590,489,922","-4,751,922,352,762","-1,680,268,449","-394,439,393,734",,"3,016,977,194,977","973,968,520,215","510,218,287,249","-3,695,882,090","1,480,490,925,374"
'1/2010,,"1,564,151,094,066",,"358,821,928,950","-532,403,447","77,615,698,472","-198,459,584,848","413,090,188,796",,"2,305,558,130,255","-270,860,849,472","-676,327,671,681","-256,934,982,422","-58,269,901,758",,"-393,268,078,518","-265,793,824,683","135,447,050,025","-121,339,205,479","398,210,666,267",,"-979,887,380,364","177,668,358,381","-440,315,194,592","309,875,860,000","-639,735,062,583","9,476,820,411","141,661,603,051","-1,421,254,995,696",,"8,456,520,000",,"10,862,814,502,121","-9,647,393,130,599","-163,190,854","-637,985,549,983",,"585,729,150,685","-437,315,178,744","1,480,490,925,374","4,001,480,631","1,047,177,227,261"
'2/2010,,"1,564,151,094,066",,"358,821,928,950","-532,403,447","77,615,698,472","-198,459,584,848","413,090,188,796",,"2,305,558,130,255","-270,860,849,472","-676,327,671,681","-256,934,982,422","-58,269,901,758",,"-393,268,078,518","-265,793,824,683","135,447,050,025","-121,339,205,479","398,210,666,267",,"-979,887,380,364","177,668,358,381","-440,315,194,592","309,875,860,000","-639,735,062,583","9,476,820,411","141,661,603,051","-1,421,254,995,696",,"8,456,520,000",,"10,862,814,502,121","-9,647,393,130,599","-163,190,854","-637,985,549,983",,"585,729,150,685","-437,315,178,744","1,480,490,925,374","4,001,480,631","1,047,177,227,261"
