Quý,Doanh thu bán hàng và cung cấp dịch vụ,2. Các khoản giảm trừ doanh thu,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),4. Giá vốn hàng bán,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),6. Doanh thu hoạt động tài chính,7. Chi phí tài chính, Trong đó: Chi phí lãi vay,"8. Phần lãi lỗ trong công ty liên doanh, liên kết",9. Chi phí bán hàng,10. Chi phí quản lý doanh nghiệp,11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},12. Thu nhập khác,13. Chi phí khác,14. Lợi nhuận khác(40=31-32),15. Tổng lợi nhuận kế toán trước thuế(50=30+40),16. Chi phí thuế TNDN hiện hành,17. Chi phí thuế TNDN hoãn lại,18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),19. Lợi nhuận sau thuế công ty mẹ,20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,21. Lãi cơ bản trên cổ phiếu(),22. Lãi suy giảm trên cổ phiếu ()
'1/2008,"2,307,629,548,155","21,639,939,739","2,285,989,608,416","1,732,408,734,192","553,580,874,224","23,418,409,064","12,608,915,431","12,608,915,431",,"21,232,381,018","24,025,275,143","517,868,885,531","4,166,858,349","1,129,766,199","3,037,092,150","520,905,977,681","70,783,816,673","1,677,469,267","451,799,630,275","450,502,282,145",,"3,423",
'2/2008,"2,679,862,990,517","38,757,983,242","2,641,105,007,275","2,061,805,969,820","579,299,037,455","33,896,075,901","32,309,430,266","32,309,430,266",,"26,492,542,645","40,075,109,059","451,926,300,797","5,295,814,798","1,359,490,452","3,936,324,346","459,381,699,092","65,034,108,012","-1,928,361,486","396,275,952,566","395,286,249,823",,"2,880",
'3/2008,"1,652,030,943,101","37,271,313,394","1,614,759,629,707","1,304,317,596,960","310,442,032,747","36,800,353,624",,,,"19,653,435,328","32,314,604,813","266,084,779,135","8,487,417,355","926,885,618","7,560,531,737","277,498,403,923","43,685,333,536","-1,676,242,192","235,489,312,579","234,315,781,298",,"1,307",
'4/2008,"1,856,335,074,307","43,141,772,587","1,813,193,301,720","2,005,447,635,941","-192,254,334,221","62,794,905,993","16,483,036,927","16,483,036,927",,"35,168,855,050","40,803,423,286","-246,094,686,206","17,064,456,800","13,753,978,184","3,310,478,616","-244,535,618,463","-16,328,481,503","3,679,818,952","-231,886,955,912","-232,652,691,879",,,
'1/2009,"1,612,249,068,838","25,466,546,840","1,586,782,521,998","1,139,824,475,667","446,958,046,331","18,065,621,384","6,257,153,481","6,257,153,481",,"21,487,520,378","27,602,966,624","352,609,334,761","5,116,368,651","299,937,934","4,816,430,717","358,773,220,855","56,017,584,105","1,122,704,626","301,632,932,124","300,826,538,329",,"1,532",
'2/2009,"2,063,386,686,450","33,304,078,769","2,030,082,607,681","1,547,188,232,576","482,894,375,105","57,337,756,925","12,217,784,234","12,217,784,234",,"25,006,067,012","34,506,090,152","447,217,845,355","2,712,185,809","1,422,781,625","1,289,404,184","449,463,829,919","71,226,255,467","7,339,308,921","370,898,265,531","368,712,903,295",,,
'3/2009,"2,146,847,551,098","31,148,125,301","2,115,699,425,797","1,576,630,891,730","539,068,534,067","22,068,485,658","21,040,193,888","21,040,193,888",,"27,583,864,169","46,249,809,318","412,250,605,243","4,855,238,589","1,760,357,997","3,094,880,592","417,423,301,934","59,264,178,717","-442,727,603","358,601,850,820","358,141,822,046",,"1,824",
'4/2009,"2,417,867,120,781","35,338,759,003","2,382,528,361,778","1,875,741,648,411","506,786,713,367","34,223,436,255",,,,"45,935,552,226","80,883,044,538","305,035,339,530","17,451,425,179","11,964,271,136","5,487,154,043","298,904,709,053","65,243,943,331","-113,509,332","233,774,275,054","238,335,223,703",,"1,214",
'1/2010,"2,556,940,441,541","38,837,828,768","2,518,102,612,773","2,054,898,098,936","463,204,513,837","35,498,192,943","60,721,743,046","60,721,743,046",,"36,565,462,349","51,277,173,760","322,564,445,248","3,821,645,371","1,823,276,546","1,998,368,825","334,571,205,107","50,953,488,439","874,184,473","282,743,532,195","278,086,169,546",,"1,416",
'2/2010,"3,394,595,646,671","48,753,897,344","3,345,841,749,327","2,798,560,239,290","547,281,510,037","50,892,665,762","84,113,148,101","84,113,148,101",,"39,194,656,891","59,442,448,644","362,183,842,604","206,354,636,960","203,322,656,797","3,031,980,163","397,012,862,807","54,076,255,190","-5,886,443,006","348,823,050,623","341,741,735,463",,"1,160",
