Quý,TÀI SẢN,A- TÀI SẢN NGẮN HẠN,I. Tiền và các khoản tương đương tiền,1. Tiền,2. Các khoản tương đương tiền,II. Các khoản đầu tư tài chính ngắn hạn,1. Chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh,3. Đầu tư nắm giữ đến ngày đáo hạn,III. Các khoản phải thu ngắn hạn,1. Phải thu ngắn hạn của khách hàng,2. Trả trước cho người bán ngắn hạn,3. Phải thu nội bộ ngắn hạn,4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,5. Phải thu về cho vay ngắn hạn,6. Phải thu ngắn hạn khác,7. Dự phòng phải thu ngắn hạn khó đòi,8. Tài sản Thiếu chờ xử lý,IV. Hàng tồn kho,1. Hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,V.Tài sản ngắn hạn khác,1. Chi phí trả trước ngắn hạn,2. Thuế GTGT được khấu trừ,3. Thuế và các khoản khác phải thu Nhà nước,4. Giao dịch mua bán lại trái phiếu Chính phủ,5. Tài sản ngắn hạn khác,B. TÀI SẢN DÀI HẠN,I. Các khoản phải thu dài hạn,1. Phải thu dài hạn của khách hàng,2. Trả trước cho người bán dài hạn,3. Vốn kinh doanh ở đơn vị trực thuộc,4. Phải thu nội bộ dài hạn,5. Phải thu về cho vay dài hạn,6. Phải thu dài hạn khác,7. Dự phòng phải thu dài hạn khó đòi,II.Tài sản cố định,1. Tài sản cố định hữu hình, Nguyên giá, Giá trị hao mòn lũy kế,2. Tài sản cố định thuê tài chính, Nguyên giá.1, Giá trị hao mòn lũy kế.1,3. Tài sản cố định vô hình, Nguyên giá.2, Giá trị hao mòn lũy kế.2,III. Bất động sản đầu tư, Nguyên giá.3, Giá trị hao mòn lũy kế.3,IV. Tài sản dở dang dài hạn,"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",2. Chi phí xây dựng cơ bản dở dang,V. Đầu tư tài chính dài hạn,1. Đầu tư vào công ty con,"2. Đầu tư vào công ty liên kết, liên doanh",3. Đầu tư góp vốn vào đơn vị khác,4. Dự phòng đầu tư tài chính dài hạn,5. Đầu tư nắm giữ đến ngày đáo hạn,VI. Tài sản dài hạn khác,1. Chi phí trả trước dài hạn,2. Tài sản thuế thu nhập hoãn lại,"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",4. Tài sản dài hạn khác,5. Lợi thế thương mại,TỔNG CỘNG TÀI SẢN,NGUỒN VỐN,C. NỢ PHẢI TRẢ,I. Nợ ngắn hạn,1. Phải trả người bán ngắn hạn,2. Người mua trả tiền trước ngắn hạn,3. Thuế và các khoản phải nộp nhà nước,4. Phải trả người lao động,5. Chi phí phải trả ngắn hạn,6. Phải trả nội bộ ngắn hạn,7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,8. Doanh thu chưa thực hiện ngắn hạn,9. Phải trả ngắn hạn khác,10. Vay và nợ thuê tài chính ngắn hạn,11. Dự phòng phải trả ngắn hạn,12. Quỹ khen thưởng phúc lợi,13. Quỹ bình ổn giá,14. Giao dịch mua bán lại trái phiếu Chính phủ,II. Nợ dài hạn,1. Phải trả người bán dài hạn,2. Người mua trả tiền trước dài hạn,3. Chi phí phải trả dài hạn,4. Phải trả nội bộ về vốn kinh doanh,5. Phải trả nội bộ dài hạn,6. Doanh thu chưa thực hiện dài hạn,7. Phải trả dài hạn khác,8. Vay và nợ thuê tài chính dài hạn,9. Trái phiếu chuyển đổi,10. Cổ phiếu ưu đãi,11. Thuế thu nhập hoãn lại phải trả,12. Dự phòng phải trả dài hạn,13. Quỹ phát triển khoa học và công nghệ,D.VỐN CHỦ SỞ HỮU,I. Vốn chủ sở hữu,1. Vốn góp của chủ sở hữu, Cổ phiếu phổ thông có quyền biểu quyết, Cổ phiếu ưu đãi,2. Thặng dư vốn cổ phần,3. Quyền chọn chuyển đổi trái phiếu,4. Vốn khác của chủ sở hữu,5. Cổ phiếu quỹ,6. Chênh lệch đánh giá lại tài sản,7. Chênh lệch tỷ giá hối đoái,8. Quỹ đầu tư phát triển,9. Quỹ hỗ trợ sắp xếp doanh nghiệp,10. Quỹ khác thuộc vốn chủ sở hữu,11. Lợi nhuận sau thuế chưa phân phối, LNST chưa phân phối lũy kế đến cuối kỳ trước, LNST chưa phân phối kỳ này,12. Nguồn vốn đầu tư XDCB,13. Lợi ích cổ đông không kiểm soát,II. Nguồn kinh phí và quỹ khác,1. Nguồn kinh phí,2. Nguồn kinh phí đã hình thành TSCĐ,TỔNG CỘNG NGUỒN VỐN
'1/2008,,"2,373,803,866,870","26,847,972,877","496,268,403","26,351,704,474","1,630,484,681,839",,,"16,123,285,750","489,253,962,382","6,775,778,447","122,754,931,703","118,513,109,043",,,"241,210,143,189",,,"25,179,877,914","25,179,877,914",,"202,037,371,858","8,913,015,589","32,827,451,241",,,"160,296,905,028","3,647,762,533,053",,,,,,,,,"2,257,962,229,768","27,301,430,368","37,353,336,482","10,051,906,114",,,,"99,139,107,317","100,007,328,061","868,220,744",,,,,,"2,131,521,692,083","937,968,786,262","150,000,000","700,917,786,262","236,901,000,000",,,"206,568,537,882","171,529,401,566",,,,,"6,021,566,399,923",,"4,399,063,295,606","1,102,096,340,176","60,547,572,489","766,170,861","10,190,514,801","3,507,420,908","275,269,261,793","433,028,602",,,,,,,,,"3,296,966,955,430",,,,,,,"129,327,480,430","3,165,800,000,000",,,,,,"1,497,934,279,555","1,497,934,279,555","1,199,831,560,000",,,"773,354,590,000",,"4,165,459","869,327,434,323",,,,,,"394,067,232,960",,,,,,,,"6,021,566,399,923"
'2/2008,,"2,373,803,866,870","26,847,972,877","496,268,403","26,351,704,474","1,630,484,681,839",,,"-16,123,285,750","489,253,962,382","6,775,778,447","122,754,931,703","118,513,109,043",,,"241,210,143,189",,,"25,179,877,914","25,179,877,914",,"202,037,371,858","8,913,015,589","32,827,451,241",,,"160,296,905,028","3,647,762,533,053",,,,,,,,,"2,257,962,229,768","27,301,430,368","37,353,336,482","-10,051,906,114",,,,"99,139,107,317","100,007,328,061","-868,220,744",,,,,,"2,131,521,692,083","937,968,786,262","150,000,000","700,917,786,262","236,901,000,000",,,"206,568,537,882","171,529,401,566",,,,,"6,021,566,399,923",,"4,399,063,295,606","1,102,096,340,176","60,547,572,489","766,170,861","10,190,514,801","3,507,420,908","275,269,261,793","433,028,602",,,,,,,,,"3,296,966,955,430",,,,,,,"129,327,480,430","3,165,800,000,000",,,,,,"1,497,934,279,555","1,497,934,279,555","1,199,831,560,000",,,"773,354,590,000",,"4,165,459","-869,327,434,323",,,,,,"394,067,232,960",,,,,,,,"6,021,566,399,923"
'3/2008,,"2,373,803,866,870","26,847,972,877","496,268,403","26,351,704,474","1,630,484,681,839",,,"-16,123,285,750","489,253,962,382","6,775,778,447","122,754,931,703","118,513,109,043",,,"241,210,143,189",,,"25,179,877,914","25,179,877,914",,"202,037,371,858","8,913,015,589","32,827,451,241",,,"160,296,905,028","3,647,762,533,053",,,,,,,,,"2,257,962,229,768","27,301,430,368","37,353,336,482","-10,051,906,114",,,,"99,139,107,317","100,007,328,061","-868,220,744",,,,,,"2,131,521,692,083","937,968,786,262","150,000,000","700,917,786,262","236,901,000,000",,,"206,568,537,882","171,529,401,566",,,,,"6,021,566,399,923",,"4,399,063,295,606","1,102,096,340,176","60,547,572,489","766,170,861","10,190,514,801","3,507,420,908","275,269,261,793","433,028,602",,,,,,,,,"3,296,966,955,430",,,,,,,"129,327,480,430","3,165,800,000,000",,,,,,"1,497,934,279,555","1,497,934,279,555","1,199,831,560,000",,,"773,354,590,000",,"4,165,459","-869,327,434,323",,,,,,"394,067,232,960",,,,,,,,"6,021,566,399,923"
'4/2008,,"2,373,803,866,870","26,847,972,877","496,268,403","26,351,704,474","1,630,484,681,839",,,"-16,123,285,750","489,253,962,382","6,775,778,447","122,754,931,703","118,513,109,043",,,"241,210,143,189",,,"25,179,877,914","25,179,877,914",,"202,037,371,858","8,913,015,589","32,827,451,241",,,"160,296,905,028","3,647,762,533,053",,,,,,,,,"2,257,962,229,768","27,301,430,368","37,353,336,482","-10,051,906,114",,,,"99,139,107,317","100,007,328,061","-868,220,744",,,,,,"2,131,521,692,083","937,968,786,262","150,000,000","700,917,786,262","236,901,000,000",,,"206,568,537,882","171,529,401,566",,,,,"6,021,566,399,923",,"4,399,063,295,606","1,102,096,340,176","60,547,572,489","766,170,861","10,190,514,801","3,507,420,908","275,269,261,793","433,028,602",,,,,,,,,"3,296,966,955,430",,,,,,,"129,327,480,430","3,165,800,000,000",,,,,,"1,497,934,279,555","1,497,934,279,555","1,199,831,560,000",,,"773,354,590,000",,"4,165,459","-869,327,434,323",,,,,,"394,067,232,960",,,,,,,,"6,021,566,399,923"
'1/2009,,"7,528,407,648,192","1,426,939,327,932","436,412,687,932","990,526,640,000","4,898,009,760,588",,,"-29,275,547,847","1,007,793,360,822","342,443,869,667","355,463,866,881","268,726,877,933",,,"41,158,746,341",,,"14,403,029,190","14,806,275,272","-403,246,082","181,262,169,660","1,872,542,207","28,062,979,422","103,249,162",,"151,223,398,869","6,697,232,590,667",,,,,,,,,"4,444,434,808,369","39,113,547,936","55,826,692,051","-16,713,144,115",,,,"529,638,145,423","535,913,156,783","-6,275,011,360",,,,,,"3,875,683,115,010","1,446,724,383,433",,"856,932,527,070","694,831,856,363","-105,040,000,000",,"275,639,250,823","267,620,149,634","7,303,813,125",,,,"14,313,365,056,807",,"10,677,630,442,971","1,466,893,142,812","146,078,448,800","1,087,683,691","346,648,705,412","1,918,363,142","312,980,883,203","324,552,911,770",,,,,,,,,"9,210,737,300,159",,,,,,,"57,941,446,017","9,014,391,841,949",,,"136,640,382,500",,,"2,066,943,051,408","2,066,943,051,408","1,996,272,380,000",,,"773,354,590,000",,,"-1,898,164,733,713",,"-11,706,526,412","1,762,837,618",,,"1,203,661,666,297",,,,,,,,"14,313,365,056,807"
'2/2009,,"7,528,407,648,192","1,426,939,327,932","436,412,687,932","990,526,640,000","4,898,009,760,588",,,"-29,275,547,847","1,007,793,360,822","342,443,869,667","355,463,866,881","268,726,877,933",,,"41,158,746,341",,,"14,403,029,190","14,806,275,272","-403,246,082","181,262,169,660","1,872,542,207","28,062,979,422","103,249,162",,"151,223,398,869","6,697,232,590,667",,,,,,,,,"4,444,434,808,369","39,113,547,936","55,826,692,051","-16,713,144,115",,,,"529,638,145,423","535,913,156,783","-6,275,011,360",,,,,,"3,875,683,115,010","1,446,724,383,433",,"856,932,527,070","694,831,856,363","-105,040,000,000",,"275,639,250,823","267,620,149,634","7,303,813,125",,,,"14,313,365,056,807",,"10,677,630,442,971","1,466,893,142,812","146,078,448,800","1,087,683,691","346,648,705,412","1,918,363,142","312,980,883,203","324,552,911,770",,,,,,,,,"9,210,737,300,159",,,,,,,"57,941,446,017","9,014,391,841,949",,,"136,640,382,500",,,"2,066,943,051,408","2,066,943,051,408","1,996,272,380,000",,,"773,354,590,000",,,"-1,898,164,733,713",,"-11,706,526,412","1,762,837,618",,,"1,203,661,666,297",,,,,,,,"14,313,365,056,807"
'3/2009,,"7,528,407,648,192","1,426,939,327,932","436,412,687,932","990,526,640,000","4,898,009,760,588",,,"-29,275,547,847","1,007,793,360,822","342,443,869,667","355,463,866,881","268,726,877,933",,,"41,158,746,341",,,"14,403,029,190","14,806,275,272","-403,246,082","181,262,169,660","1,872,542,207","28,062,979,422","103,249,162",,"151,223,398,869","6,697,232,590,667",,,,,,,,,"4,444,434,808,369","39,113,547,936","55,826,692,051","-16,713,144,115",,,,"529,638,145,423","535,913,156,783","-6,275,011,360",,,,,,"3,875,683,115,010","1,446,724,383,433",,"856,932,527,070","694,831,856,363","-105,040,000,000",,"275,639,250,823","267,620,149,634","7,303,813,125",,,,"14,313,365,056,807",,"10,677,630,442,971","1,466,893,142,812","146,078,448,800","1,087,683,691","346,648,705,412","1,918,363,142","312,980,883,203","324,552,911,770",,,,,,,,,"9,210,737,300,159",,,,,,,"57,941,446,017","9,014,391,841,949",,,"136,640,382,500",,,"2,066,943,051,408","2,066,943,051,408","1,996,272,380,000",,,"773,354,590,000",,,"-1,898,164,733,713",,"-11,706,526,412","1,762,837,618",,,"1,203,661,666,297",,,,,,,,"14,313,365,056,807"
'4/2009,,"7,528,407,648,192","1,426,939,327,932","436,412,687,932","990,526,640,000","4,898,009,760,588",,,"-29,275,547,847","1,007,793,360,822","342,443,869,667","355,463,866,881","268,726,877,933",,,"41,158,746,341",,,"14,403,029,190","14,806,275,272","-403,246,082","181,262,169,660","1,872,542,207","28,062,979,422","103,249,162",,"151,223,398,869","6,697,232,590,667",,,,,,,,,"4,444,434,808,369","39,113,547,936","55,826,692,051","-16,713,144,115",,,,"529,638,145,423","535,913,156,783","-6,275,011,360",,,,,,"3,875,683,115,010","1,446,724,383,433",,"856,932,527,070","694,831,856,363","-105,040,000,000",,"275,639,250,823","267,620,149,634","7,303,813,125",,,,"14,313,365,056,807",,"10,677,630,442,971","1,466,893,142,812","146,078,448,800","1,087,683,691","346,648,705,412","1,918,363,142","312,980,883,203","324,552,911,770",,,,,,,,,"9,210,737,300,159",,,,,,,"57,941,446,017","9,014,391,841,949",,,"136,640,382,500",,,"2,066,943,051,408","2,066,943,051,408","1,996,272,380,000",,,"773,354,590,000",,,"-1,898,164,733,713",,"-11,706,526,412","1,762,837,618",,,"1,203,661,666,297",,,,,,,,"14,313,365,056,807"
'1/2010,,"13,326,421,549,479","1,515,008,976,492","821,683,976,492","693,325,000,000","3,818,932,304,721",,,"-10,242,485,500","5,663,564,994,753","2,605,627,558,066","1,638,208,034,996","1,057,520,388,255",,,"375,163,105,605","-12,954,092,169",,"2,264,169,759,164","2,264,169,759,164",,"64,745,514,349","19,623,595,664","42,648,048,678",,,"2,473,870,007","12,820,427,697,940",,,,,,,,,"4,714,385,852,467","163,686,218,038","192,230,352,378","-28,544,134,340",,,,"179,542,613,642","196,744,083,572","-17,201,469,930",,,,,,"4,371,157,020,787","3,855,099,377,861",,"3,295,920,940,246","560,540,964,826","-1,362,527,211",,"361,322,428,998","345,089,220,601","14,586,915,040",,,,"26,146,849,247,419",,"16,593,209,101,228","5,250,152,133,873","112,761,461,723","928,881,875,811","1,006,650,631,435","12,547,094,121","534,532,161,924","13,036,801,679",,,,,,,,,"11,343,056,967,355",,,,,,,"132,880,063,891","11,190,346,230,241",,,"17,618,148,945",,,"6,842,651,283,995","6,842,651,283,995","3,726,252,370,000",,,"1,522,259,442,223",,,"-720,199,415,988",,,"1,762,837,618",,,"2,309,813,212,524",,,,,,,,"26,146,849,247,419"
'2/2010,,"13,326,421,549,479","1,515,008,976,492","821,683,976,492","693,325,000,000","3,818,932,304,721",,,"-10,242,485,500","5,663,564,994,753","2,605,627,558,066","1,638,208,034,996","1,057,520,388,255",,,"375,163,105,605","-12,954,092,169",,"2,264,169,759,164","2,264,169,759,164",,"64,745,514,349","19,623,595,664","42,648,048,678",,,"2,473,870,007","12,820,427,697,940",,,,,,,,,"4,714,385,852,467","163,686,218,038","192,230,352,378","-28,544,134,340",,,,"179,542,613,642","196,744,083,572","-17,201,469,930",,,,,,"4,371,157,020,787","3,855,099,377,861",,"3,295,920,940,246","560,540,964,826","-1,362,527,211",,"361,322,428,998","345,089,220,601","14,586,915,040",,,,"26,146,849,247,419",,"16,593,209,101,228","5,250,152,133,873","112,761,461,723","928,881,875,811","1,006,650,631,435","12,547,094,121","534,532,161,924","13,036,801,679",,,,,,,,,"11,343,056,967,355",,,,,,,"132,880,063,891","11,190,346,230,241",,,"17,618,148,945",,,"6,842,651,283,995","6,842,651,283,995","3,726,252,370,000",,,"1,522,259,442,223",,,"-720,199,415,988",,,"1,762,837,618",,,"2,309,813,212,524",,,,,,,,"26,146,849,247,419"
