Quý,Doanh thu bán hàng và cung cấp dịch vụ,2. Các khoản giảm trừ doanh thu,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),4. Giá vốn hàng bán,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),6. Doanh thu hoạt động tài chính,7. Chi phí tài chính, Trong đó: Chi phí lãi vay,"8. Phần lãi lỗ trong công ty liên doanh, liên kết",9. Chi phí bán hàng,10. Chi phí quản lý doanh nghiệp,11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},12. Thu nhập khác,13. Chi phí khác,14. Lợi nhuận khác(40=31-32),15. Tổng lợi nhuận kế toán trước thuế(50=30+40),16. Chi phí thuế TNDN hiện hành,17. Chi phí thuế TNDN hoãn lại,18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),19. Lợi nhuận sau thuế công ty mẹ,20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,21. Lãi cơ bản trên cổ phiếu(),22. Lãi suy giảm trên cổ phiếu ()
'1/2008,"62,798,781,793",,"62,798,781,793","14,962,440,829","47,836,340,964","43,964,632,068",,,,"2,560,696,719","17,839,093,742","43,843,960,803","1,805,327,796","563,673,918","1,241,653,878","45,085,614,681","6,772,147,700",,"38,313,466,981","38,352,091,769",,,
'2/2008,"64,585,429,647",,"64,585,429,647","16,369,404,858","48,216,024,789","116,843,160,708","8,704,136,989","8,704,136,989",,"6,962,143,202","18,111,705,264","32,829,403,537","19,042,987,276","5,409,382,539","13,633,604,737","46,463,008,274","7,718,397,136",,"38,744,611,138","39,943,381,469",,,
'3/2008,"76,624,535,356",,"76,624,535,356","15,187,759,687","61,436,775,669","76,546,259,134","63,569,705,193","63,569,705,193",,"5,505,993,747","22,908,432,612","45,998,903,251","3,198,851,541","3,473,664,140","-274,812,599","45,724,090,652","6,781,642,245",,"38,942,448,407","37,469,183,532",,,
'4/2008,"74,390,568,161",,"74,390,568,161","13,942,194,781","60,448,373,380","87,735,264,387","62,185,844,835","62,185,844,835",,"12,132,997,869","58,805,770,287","15,059,024,776","814,154,796","125,325,403","688,829,393","15,747,854,169","9,652,956,483",,"6,094,897,686","6,266,186,413",,,
'1/2009,"61,113,201,638",,"61,113,201,638","13,271,369,445","47,841,832,193","67,037,328,077",,,,"1,846,627,187","31,980,624,196","15,734,045,985","484,831,365","37,701,494","447,129,871","16,132,912,752","5,915,179,498",,"10,217,733,254","11,562,949,869",,,
'2/2009,"62,569,869,999",,"62,569,869,999","15,496,863,180","47,073,006,819","108,226,968,706",,,,"1,917,015,978","24,838,014,128","74,130,294,770","2,389,029,550","2,301,706,642","87,322,908","78,921,391,592","14,829,023,568",,"64,092,368,024","55,034,439,200",,610,
'3/2009,"69,792,134,537",,"69,792,134,537","22,111,106,633","47,681,027,904","145,087,759,631",,,,"2,059,230,102","27,255,893,911","122,256,335,503","1,465,053,095","1,880,862,838","-415,809,743","125,850,648,192","30,188,881,164",,"95,661,767,028","95,780,841,945",,574,
'4/2009,"1,766,613,326,993",,"1,766,613,326,993","563,705,483,402","1,202,907,843,591","122,584,717,160",,,,"5,373,340,156","29,312,500,229","890,609,125,817","2,068,445,931","-1,087,293,082","3,155,739,013","896,845,648,476","208,164,811,283",,"688,680,837,193","616,853,773,434",,"3,643",
'1/2010,"104,359,229,566",,"104,359,229,566","26,895,195,494","77,464,034,072","177,985,105,692",,,,"7,079,706,259","38,387,872,536","58,635,724,450","64,337,855,181","58,666,772,072","5,671,083,109","56,308,437,066","18,094,483,189",,"38,213,953,877","33,326,636,066",,185,
'2/2010,"183,273,552,648",,"183,273,552,648","56,102,936,201","127,170,616,447","304,499,955,603","146,583,015,013","146,583,015,013",,"1,771,453,475","41,666,651,187","128,519,282,702","5,347,279,999","6,382,059,840","-1,034,779,841","116,996,267,540","9,865,976,124","23,145,374,496","83,984,916,920","105,370,434,200",,315,
