Quý,Năm,Tiền và các khoản tương đương tiền,Các khoản đầu tư tài chính ngắn hạn,Các khoản phải thu ngắn hạn,Hàng tồn kho,Tài sản ngắn hạn khác,Các khoản phải thu dài hạn,Tài sản cố định,Tài sản dở dang dài hạn,Bất động sản đầu tư,Đầu tư tài chính dài hạn,Tài sản dài hạn khác,Nợ ngắn hạn,Nợ dài hạn,Vốn chủ sở hữu,Nguồn kinh phí và quỹ khác,Debt Ratio,D/E,Asset Leverage,Equity/Asset,Long Debt/Equity,Financial Leverage,Current Ratio,Quick Ratio
1,2008,,,,,,,,,,,,,,,,,,,,,,,
2,2008,,,,,,,,,,,,,,,,,,,,,,,
3,2008,,,,,,,,,,,,,,,,,,,,,,,
4,2008,,,,,,,,,,,,,,,,,,,,,,,
1,2009,,,,,,,,,,,,,,,,,,,,,,,
2,2009,,,,,,,,,,,,,,,,,,,,,,,
3,2009,,,,,,,,,,,,,,,,,,,,,,,
4,2009,,,,,,,,,,,,,,,,,,,,,,,
1,2010,,,,,,,,,,,,,,,,,,,,,,,
2,2010,,,,,,,,,,,,,,,,,,,,,,,
3,2010,,,,,,,,,,,,,,,,,,,,,,,
4,2010,,,,,,,,,,,,,,,,,,,,,,,
1,2011,,,,,,,,,,,,,,,,,,,,,,,
2,2011,,,,,,,,,,,,,,,,,,,,,,,
3,2011,,,,,,,,,,,,,,,,,,,,,,,
4,2011,,,,,,,,,,,,,,,,,,,,,,,
1,2012,,,,,,,,,,,,,,,,,,,,,,,
2,2012,,,,,,,,,,,,,,,,,,,,,,,
3,2012,,,,,,,,,,,,,,,,,,,,,,,
4,2012,,,,,,,,,,,,,,,,,,,,,,,
1,2013,,,,,,,,,,,,,,,,,,,,,,,
2,2013,,,,,,,,,,,,,,,,,,,,,,,
3,2013,,,,,,,,,,,,,,,,,,,,,,,
4,2013,,,,,,,,,,,,,,,,,,,,,,,
1,2014,,,,,,,,,,,,,,,,,,,,,,,
2,2014,,,,,,,,,,,,,,,,,,,,,,,
3,2014,,,,,,,,,,,,,,,,,,,,,,,
4,2014,,,,,,,,,,,,,,,,,,,,,,,
1,2015,,,,,,,,,,,,,,,,,,,,,,,
2,2015,,,,,,,,,,,,,,,,,,,,,,,
3,2015,,,,,,,,,,,,,,,,,,,,,,,
4,2015,,,,,,,,,,,,,,,,,,,,,,,
1,2016,"3,592,179,259,917","554,133,478,337","6,282,285,300,744","5,360,453,875,037","2,093,768,326,392","3,454,159,254,247","10,307,890,153,076","5,151,610,190,522",,"1,234,260,503,119","1,935,878,909,428","17,521,125,899,531","8,576,922,941,027","13,868,570,410,261",,0.6529961585385583,1.8818124773155223,2.8818124773155223,0.3470038414614417,0.6184431911367847,1.8818124773155223,1.020643327544703,0.7147010093526692
2,2016,"3,338,278,599,995","1,124,858,666,667","5,993,544,487,545","5,358,798,565,916","1,696,967,179,196","3,584,526,579,081","10,802,581,788,311","3,055,619,508,551",,"1,354,509,375,866","1,965,877,876,182","17,369,133,864,984","10,454,562,132,343","10,451,866,629,983",,0.726931077885045,2.6620791273311775,3.6620791273311775,0.2730689221149551,1.0002578967427949,2.6620791273311775,1.0082510524387125,0.6997268273638351
3,2016,,,,,,,,,,,,,,,,,,,,,,,
4,2016,"2,595,820,204,436","5,874,858,666,667","5,936,584,340,215","4,813,177,097,691","1,713,681,760,906","4,926,842,076,687","12,538,299,704,615","2,860,499,204,474",,"3,806,550,536,511","1,760,083,946,529","17,980,096,223,526","10,511,248,218,172","18,335,053,097,033",,0.6084462170751502,1.5539275665532981,2.553927566553298,0.3915537829248498,0.5732870345422093,1.5539275665532981,1.1642942178765325,0.896599482661867
