Quý,Năm,Tiền và các khoản tương đương tiền,Các khoản đầu tư tài chính ngắn hạn,Các khoản phải thu ngắn hạn,Hàng tồn kho,Tài sản ngắn hạn khác,Các khoản phải thu dài hạn,Tài sản cố định,Tài sản dở dang dài hạn,Bất động sản đầu tư,Đầu tư tài chính dài hạn,Tài sản dài hạn khác,Nợ ngắn hạn,Nợ dài hạn,Vốn chủ sở hữu,Nguồn kinh phí và quỹ khác,Debt Ratio,D/E,Asset Leverage,Equity/Asset,Long Debt/Equity,Financial Leverage,Current Ratio,Quick Ratio
1,2008,,,,,,,,,,,,,,,,,,,,,,,
2,2008,,,,,,,,,,,,,,,,,,,,,,,
3,2008,,,,,,,,,,,,,,,,,,,,,,,
4,2008,,,,,,,,,,,,,,,,,,,,,,,
1,2009,,,,,,,,,,,,,,,,,,,,,,,
2,2009,,,,,,,,,,,,,,,,,,,,,,,
3,2009,,,,,,,,,,,,,,,,,,,,,,,
4,2009,,,,,,,,,,,,,,,,,,,,,,,
1,2010,,,,,,,,,,,,,,,,,,,,,,,
2,2010,"4,355,914,330","148,018,000,000","17,096,302,315","352,468,928","6,955,306,827","3,580,649,191","18,764,716,708",,,,"1,726,030,340","15,391,061,860",,"219,520,996,753",,0.06526211236462434,0.07011202612804128,1.0743143852947956,0.9308262215306711,0.0,0.07011202612804128,11.48575673387619,11.46285584950537
3,2010,,,,,,,,,,,,,,,,,,,,,,,
4,2010,,,,,,,,,,,,,,,,,,,,,,,
1,2011,"634,156,486","139,940,002,000","73,395,737,619","2,047,117,570","11,507,138,555",,"28,024,536,875",,,"159,272,831,926","3,613,848,684","224,102,765,706","1,837,205,775","221,375,356,103",,0.5007209313197366,1.0206193474212921,2.038299746589928,0.49060497685534143,0.00829905282747551,1.0206193474212921,1.0152670428373405,1.0061323159027984
2,2011,"634,156,486","139,940,002,000","73,395,737,619","2,047,117,570","11,507,138,555",,"28,024,536,875",,,"159,272,831,926","3,613,848,684","224,102,765,706","1,837,205,775","221,375,356,103",,0.5007209313197366,1.0206193474212921,2.038299746589928,0.49060497685534143,0.00829905282747551,1.0206193474212921,1.0152670428373405,1.0061323159027984
3,2011,"634,156,486","139,940,002,000","73,395,737,619","2,047,117,570","11,507,138,555",,"28,024,536,875",,,"159,272,831,926","3,613,848,684","224,102,765,706","1,837,205,775","221,375,356,103",,0.5007209313197366,1.0206193474212921,2.038299746589928,0.49060497685534143,0.00829905282747551,1.0206193474212921,1.0152670428373405,1.0061323159027984
4,2011,"634,156,486","139,940,002,000","73,395,737,619","2,047,117,570","11,507,138,555",,"28,024,536,875",,,"159,272,831,926","3,613,848,684","224,102,765,706","1,837,205,775","221,375,356,103",,0.5007209313197366,1.0206193474212921,2.038299746589928,0.49060497685534143,0.00829905282747551,1.0206193474212921,1.0152670428373405,1.0061323159027984
1,2012,"6,591,266,338","708,892,490,000","542,689,472,810","2,210,936,480","16,743,028,553",,"306,068,912,628",,,"147,725,898,358","14,131,407,429","728,814,326,388","189,663,291,676","1,199,125,671,482",,0.43249900134631386,0.7659560961019649,1.7710008432797346,0.5646524697007427,0.15816798538021043,0.7659560961019649,1.7523354686377197,1.7493018613114788
2,2012,"6,591,266,338","708,892,490,000","542,689,472,810","2,210,936,480","16,743,028,553",,"306,068,912,628",,,"147,725,898,358","14,131,407,429","728,814,326,388","189,663,291,676","1,199,125,671,482",,0.43249900134631386,0.7659560961019649,1.7710008432797346,0.5646524697007427,0.15816798538021043,0.7659560961019649,1.7523354686377197,1.7493018613114788
3,2012,"6,591,266,338","708,892,490,000","542,689,472,810","2,210,936,480","16,743,028,553",,"306,068,912,628",,,"147,725,898,358","14,131,407,429","728,814,326,388","189,663,291,676","1,199,125,671,482",,0.43249900134631386,0.7659560961019649,1.7710008432797346,0.5646524697007427,0.15816798538021043,0.7659560961019649,1.7523354686377197,1.7493018613114788
