Quý,Năm,Doanh thu bán hàng và cung cấp dịch vụ,2. Các khoản giảm trừ doanh thu,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),4. Giá vốn hàng bán,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),6. Doanh thu hoạt động tài chính,7. Chi phí tài chính, Trong đó: Chi phí lãi vay,"8. Phần lãi lỗ trong công ty liên doanh, liên kết",9. Chi phí bán hàng,10. Chi phí quản lý doanh nghiệp,11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},12. Thu nhập khác,13. Chi phí khác,14. Lợi nhuận khác(40=31-32),15. Tổng lợi nhuận kế toán trước thuế(50=30+40),16. Chi phí thuế TNDN hiện hành,17. Chi phí thuế TNDN hoãn lại,18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),19. Lợi nhuận sau thuế công ty mẹ,20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,21. Lãi cơ bản trên cổ phiếu(),22. Lãi suy giảm trên cổ phiếu ()
1,2008,,,,,,,,,,,,,,,,,,,,,,,
2,2008,,,,,,,,,,,,,,,,,,,,,,,
3,2008,,,,,,,,,,,,,,,,,,,,,,,
4,2008,,,,,,,,,,,,,,,,,,,,,,,
1,2009,,,,,,,,,,,,,,,,,,,,,,,
2,2009,,,,,,,,,,,,,,,,,,,,,,,
3,2009,,,,,,,,,,,,,,,,,,,,,,,
4,2009,,,,,,,,,,,,,,,,,,,,,,,
1,2010,,,,,,,,,,,,,,,,,,,,,,,
2,2010,40034222488.0,25429483035.0,14604739453.0,3402060355.0,11202679098.0,1313462540.0,151941215.0,151941215.0,,1366000.0,1725021604.0,10485871604.0,11946544.0,1359635715.0,-1347689171.0,9138182433.0,2284545608.0,,6853636825.0,6853636825.0,,403.0,
3,2010,,,,,,,,,,,,,,,,,,,,,,,
4,2010,,,,,,,,,,,,,,,,,,,,,,,
1,2011,22007655255.0,,22007655255.0,20065058333.0,1942596922.0,6602471351.0,164005693.0,164005693.0,,,4137553072.0,3846459508.0,2661760.0,,2661760.0,3849121268.0,964362001.0,,2884759267.0,2882874678.0,,170.0,
2,2011,25415737273.0,,25415737273.0,23518217910.0,1897519363.0,3471855672.0,10000.0,10000.0,,4486363.0,4452004395.0,912874277.0,128504870.0,97760.0,128407110.0,-1801351833.0,493673365.0,,-2295025198.0,-2333336795.0,,,
3,2011,12449977567.0,,12449977567.0,9854627490.0,2595350077.0,3140360610.0,96669833.0,96669833.0,,,5059361160.0,579679694.0,1088063.0,,1088063.0,3347844755.0,648936328.0,,90192699.0,35548799.0,,,
4,2011,76327828605.0,,76327828605.0,72493657886.0,3834170719.0,28357500049.0,13609859090.0,13609859090.0,,805791757.0,6834804272.0,11338375049.0,41733165.0,190500001.0,-148766836.0,14146712089.0,3106834522.0,,11039877567.0,11080073753.0,,,
1,2012,34028263460.0,,34028263460.0,32106767751.0,1921495709.0,9598647606.0,5228287081.0,5228287081.0,,337404074.0,5246449576.0,692035752.0,4720108.0,3760550.0,959558.0,536514187.0,271169980.0,,265344207.0,203742584.0,,12.0,
2,2012,177690385809.0,,177690385809.0,174997802594.0,2692583215.0,8848080827.0,209980901.0,209980901.0,,298970766.0,7570277065.0,1287374600.0,41558903.0,137122163.0,-95563260.0,5824873394.0,585314065.0,,5239559329.0,5289721790.0,,311.0,
3,2012,186966551581.0,,186966551581.0,184333012860.0,2633538721.0,14158187405.0,1241413979.0,1241413979.0,,320615265.0,8565794853.0,2489382105.0,8498649.0,93512870.0,-85014221.0,1647205055.0,923752378.0,,723452677.0,800808688.0,,10.0,
