Quý,Năm,Tiền và các khoản tương đương tiền,Các khoản đầu tư tài chính ngắn hạn,Các khoản phải thu ngắn hạn,Hàng tồn kho,Tài sản ngắn hạn khác,Các khoản phải thu dài hạn,Tài sản cố định,Tài sản dở dang dài hạn,Bất động sản đầu tư,Đầu tư tài chính dài hạn,Tài sản dài hạn khác,Nợ ngắn hạn,Nợ dài hạn,Vốn chủ sở hữu,Nguồn kinh phí và quỹ khác,Debt Ratio,D/E,Asset Leverage,Equity/Asset,Long Debt/Equity,Financial Leverage,Current Ratio,Quick Ratio
1,2008,,,,,,,,,,,,,,,,,,,,,,,
2,2008,,,,,,,,,,,,,,,,,,,,,,,
3,2008,,,,,,,,,,,,,,,,,,,,,,,
4,2008,,,,,,,,,,,,,,,,,,,,,,,
1,2009,,,,,,,,,,,,,,,,,,,,,,,
2,2009,,,,,,,,,,,,,,,,,,,,,,,
3,2009,,,,,,,,,,,,,,,,,,,,,,,
4,2009,,,,,,,,,,,,,,,,,,,,,,,
1,2010,,,,,,,,,,,,,,,,,,,,,,,
2,2010,,,,,,,,,,,,,,,,,,,,,,,
3,2010,,,,,,,,,,,,,,,,,,,,,,,
4,2010,,,,,,,,,,,,,,,,,,,,,,,
1,2011,,,,,,,,,,,,,,,,,,,,,,,
2,2011,,,,,,,,,,,,,,,,,,,,,,,
3,2011,,,,,,,,,,,,,,,,,,,,,,,
4,2011,,,,,,,,,,,,,,,,,,,,,,,
1,2012,,,,,,,,,,,,,,,,,,,,,,,
2,2012,,,,,,,,,,,,,,,,,,,,,,,
3,2012,,,,,,,,,,,,,,,,,,,,,,,
4,2012,,,,,,,,,,,,,,,,,,,,,,,
1,2013,,,,,,,,,,,,,,,,,,,,,,,
2,2013,,,,,,,,,,,,,,,,,,,,,,,
3,2013,,,,,,,,,,,,,,,,,,,,,,,
4,2013,,,,,,,,,,,,,,,,,,,,,,,
1,2014,,,,,,,,,,,,,,,,,,,,,,,
2,2014,,,,,,,,,,,,,,,,,,,,,,,
3,2014,,,,,,,,,,,,,,,,,,,,,,,
4,2014,,,,,,,,,,,,,,,,,,,,,,,
1,2015,,,,,,,,,,,,,,,,,,,,,,,
2,2015,,,,,,,,,,,,,,,,,,,,,,,
3,2015,,,,,,,,,,,,,,,,,,,,,,,
4,2015,,,,,,,,,,,,,,,,,,,,,,,
1,2016,,,,,,,,,,,,,,,,,,,,,,,
2,2016,,,,,,,,,,,,,,,,,,,,,,,
3,2016,,,,,,,,,,,,,,,,,,,,,,,
4,2016,,,,,,,,,,,,,,,,,,,,,,,
1,2017,,,,,,,,,,,,,,,,,,,,,,,
2,2017,"583,698,773,633","284,550,000,000","549,397,160,628","1,131,537,723,827","60,984,531,442","72,081,521,601","45,948,484,406",,,,"213,377,485,621","2,313,422,918,394",,"628,152,762,764",,0.7864570451858246,3.682898580616709,4.682898580616709,0.2135429548141754,0.0,3.682898580616709,1.128271086439311,0.6391526832151725
3,2017,"574,013,433,128","280,550,000,000","597,873,861,523","1,066,808,189,367","59,460,843,503","73,601,612,971","46,119,799,709",,,,"225,160,918,647","2,233,094,135,575",,"690,494,523,273",,0.763819536929973,3.2340504671781507,4.23405046717815,0.23618046307002705,0.0,3.2340504671781507,1.1547683039600156,0.6770418291232049
4,2017,"638,076,095,694","212,050,000,000","808,125,935,203","1,723,477,573,603","133,082,014,155","75,676,953,433","46,330,843,275",,,,"238,230,724,031","3,078,595,766,698",,"796,454,372,696",,0.7944660471359595,3.86537618756106,4.8653761875610595,0.2055339528640405,0.0,3.86537618756106,1.1416931240780828,0.5818672475384209
