Quý,Năm,Tiền và các khoản tương đương tiền,Các khoản đầu tư tài chính ngắn hạn,Các khoản phải thu ngắn hạn,Hàng tồn kho,Tài sản ngắn hạn khác,Các khoản phải thu dài hạn,Tài sản cố định,Tài sản dở dang dài hạn,Bất động sản đầu tư,Đầu tư tài chính dài hạn,Tài sản dài hạn khác,Nợ ngắn hạn,Nợ dài hạn,Vốn chủ sở hữu,Nguồn kinh phí và quỹ khác,Debt Ratio,D/E,Asset Leverage,Equity/Asset,Long Debt/Equity,Financial Leverage,Current Ratio,Quick Ratio
1,2008,"510,218,287,249","734,385,999,000","720,175,258,324","1,820,239,669,743","63,989,886,752","43,404,000","1,265,421,455,951",,,"380,605,806,896","125,964,279,734","1,256,330,621,478","37,767,682,633","4,070,660,719,967","40,406,165,754",0.22947550176382087,0.31790866228750475,1.385370812326191,0.7218284022606838,0.009278022716986882,0.31790866228750475,3.0636912252762447,1.6148372065772547
2,2008,"510,218,287,249","734,385,999,000","720,175,258,324","1,820,239,669,743","63,989,886,752","43,404,000","1,265,421,455,951",,,"380,605,806,896","125,964,279,734","1,256,330,621,478","37,767,682,633","4,070,660,719,967","40,406,165,754",0.22947550176382087,0.31790866228750475,1.385370812326191,0.7218284022606838,0.009278022716986882,0.31790866228750475,3.0636912252762447,1.6148372065772547
3,2008,"510,218,287,249","734,385,999,000","720,175,258,324","1,820,239,669,743","63,989,886,752","43,404,000","1,265,421,455,951",,,"380,605,806,896","125,964,279,734","1,256,330,621,478","37,767,682,633","4,070,660,719,967","40,406,165,754",0.22947550176382087,0.31790866228750475,1.385370812326191,0.7218284022606838,0.009278022716986882,0.31790866228750475,3.0636912252762447,1.6148372065772547
4,2008,"510,218,287,249","734,385,999,000","720,175,258,324","1,820,239,669,743","63,989,886,752","43,404,000","1,265,421,455,951",,,"380,605,806,896","125,964,279,734","1,256,330,621,478","37,767,682,633","4,070,660,719,967","40,406,165,754",0.22947550176382087,0.31790866228750475,1.385370812326191,0.7218284022606838,0.009278022716986882,0.31790866228750475,3.0636912252762447,1.6148372065772547
1,2009,"1,480,490,925,374","146,137,615,408","883,023,387,201","2,556,676,319,108","341,512,418,794","43,404,000","3,065,311,850,943",,,"1,101,992,112,536","154,685,659,443","4,565,113,038,861","539,493,923,852","4,825,091,164,581","73,684,484,712",0.4983390966288373,1.057929640829133,2.1229111823371114,0.47105126597858926,0.11181009963339178,1.057929640829133,1.1846016998593887,0.6245550378503592
2,2009,"1,480,490,925,374","146,137,615,408","883,023,387,201","2,556,676,319,108","341,512,418,794","43,404,000","3,065,311,850,943",,,"1,101,992,112,536","154,685,659,443","4,565,113,038,861","539,493,923,852","4,825,091,164,581","73,684,484,712",0.4983390966288373,1.057929640829133,2.1229111823371114,0.47105126597858926,0.11181009963339178,1.057929640829133,1.1846016998593887,0.6245550378503592
3,2009,"1,480,490,925,374","146,137,615,408","883,023,387,201","2,556,676,319,108","341,512,418,794","43,404,000","3,065,311,850,943",,,"1,101,992,112,536","154,685,659,443","4,565,113,038,861","539,493,923,852","4,825,091,164,581","73,684,484,712",0.4983390966288373,1.057929640829133,2.1229111823371114,0.47105126597858926,0.11181009963339178,1.057929640829133,1.1846016998593887,0.6245550378503592
4,2009,"1,480,490,925,374","146,137,615,408","883,023,387,201","2,556,676,319,108","341,512,418,794","43,404,000","3,065,311,850,943",,,"1,101,992,112,536","154,685,659,443","4,565,113,038,861","539,493,923,852","4,825,091,164,581","73,684,484,712",0.4983390966288373,1.057929640829133,2.1229111823371114,0.47105126597858926,0.11181009963339178,1.057929640829133,1.1846016998593887,0.6245550378503592
1,2010,"1,047,177,227,261","290,230,500,000","1,832,703,218,063","4,540,810,505,212","155,172,337,126","449,008,590,000","4,603,672,511,871",,,"708,792,906,574","296,959,277,546","6,136,481,866,444","2,029,187,292,937","6,398,095,940,358",,0.5478969681278691,1.2762655070352222,2.3293896138833263,0.42929701156042316,0.31715487105113005,1.2762655070352222,1.2818572528790482,0.5418875757840301
2,2010,"1,047,177,227,261","290,230,500,000","1,832,703,218,063","4,540,810,505,212","155,172,337,126","449,008,590,000","4,603,672,511,871",,,"708,792,906,574","296,959,277,546","6,136,481,866,444","2,029,187,292,937","6,398,095,940,358",,0.5478969681278691,1.2762655070352222,2.3293896138833263,0.42929701156042316,0.31715487105113005,1.2762655070352222,1.2818572528790482,0.5418875757840301
3,2010,"1,047,177,227,261","290,230,500,000","1,832,703,218,063","4,540,810,505,212","155,172,337,126","449,008,590,000","4,603,672,511,871",,,"708,792,906,574","296,959,277,546","6,136,481,866,444","2,029,187,292,937","6,398,095,940,358",,0.5478969681278691,1.2762655070352222,2.3293896138833263,0.42929701156042316,0.31715487105113005,1.2762655070352222,1.2818572528790482,0.5418875757840301
4,2010,"1,047,177,227,261","290,230,500,000","1,832,703,218,063","4,540,810,505,212","155,172,337,126","449,008,590,000","4,603,672,511,871",,,"708,792,906,574","296,959,277,546","6,136,481,866,444","2,029,187,292,937","6,398,095,940,358",,0.5478969681278691,1.2762655070352222,2.3293896138833263,0.42929701156042316,0.31715487105113005,1.2762655070352222,1.2818572528790482,0.5418875757840301
1,2011,"1,064,384,090,542",,"1,897,393,185,237","6,347,046,845,992","176,806,213,899","449,008,590,000","5,919,927,446,732",,,"272,569,336,459","432,990,546,690","6,646,566,078,572","2,914,485,770,984","7,413,804,561,023",,0.5455763071623092,1.289628256431501,2.3637908015822906,0.423049281404519,0.3931160778511057,1.289628256431501,1.4271475260361763,0.4722112821230415
2,2011,"1,064,384,090,542",,"1,897,393,185,237","6,347,046,845,992","176,806,213,899","449,008,590,000","5,919,927,446,732",,,"272,569,336,459","432,990,546,690","6,646,566,078,572","2,914,485,770,984","7,413,804,561,023",,0.5455763071623092,1.289628256431501,2.3637908015822906,0.423049281404519,0.3931160778511057,1.289628256431501,1.4271475260361763,0.4722112821230415
3,2011,"1,064,384,090,542",,"1,897,393,185,237","6,347,046,845,992","176,806,213,899","449,008,590,000","5,919,927,446,732",,,"272,569,336,459","432,990,546,690","6,646,566,078,572","2,914,485,770,984","7,413,804,561,023",,0.5455763071623092,1.289628256431501,2.3637908015822906,0.423049281404519,0.3931160778511057,1.289628256431501,1.4271475260361763,0.4722112821230415
4,2011,"1,064,384,090,542",,"1,897,393,185,237","6,347,046,845,992","176,806,213,899","449,008,590,000","5,919,927,446,732",,,"272,569,336,459","432,990,546,690","6,646,566,078,572","2,914,485,770,984","7,413,804,561,023",,0.5455763071623092,1.289628256431501,2.3637908015822906,0.423049281404519,0.3931160778511057,1.289628256431501,1.4271475260361763,0.4722112821230415
1,2012,"1,294,493,700,487","219,951,513,600","1,646,343,637,635","6,822,077,238,740","237,922,255,306","448,979,590,000","7,007,089,647,235",,,"26,218,497,620","394,091,242,174","7,362,009,487,292","3,076,196,429,104","8,085,135,114,809",,0.5489238408704609,1.2910366701574396,2.351941333264314,0.4251806734533114,0.38047557467153975,1.2910366701574396,1.388315019616004,0.46165535549631065
2,2012,"1,294,493,700,487","219,951,513,600","1,646,343,637,635","6,822,077,238,740","237,922,255,306","448,979,590,000","7,007,089,647,235",,,"26,218,497,620","394,091,242,174","7,362,009,487,292","3,076,196,429,104","8,085,135,114,809",,0.5489238408704609,1.2910366701574396,2.351941333264314,0.4251806734533114,0.38047557467153975,1.2910366701574396,1.388315019616004,0.46165535549631065
