Quý,Năm,Doanh thu bán hàng và cung cấp dịch vụ,2. Các khoản giảm trừ doanh thu,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),4. Giá vốn hàng bán,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),6. Doanh thu hoạt động tài chính,7. Chi phí tài chính, Trong đó: Chi phí lãi vay,"8. Phần lãi lỗ trong công ty liên doanh, liên kết",9. Chi phí bán hàng,10. Chi phí quản lý doanh nghiệp,11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},12. Thu nhập khác,13. Chi phí khác,14. Lợi nhuận khác(40=31-32),15. Tổng lợi nhuận kế toán trước thuế(50=30+40),16. Chi phí thuế TNDN hiện hành,17. Chi phí thuế TNDN hoãn lại,18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),19. Lợi nhuận sau thuế công ty mẹ,20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,21. Lãi cơ bản trên cổ phiếu(),22. Lãi suy giảm trên cổ phiếu ()
1,2008,2307629548155.0,21639939739.0,2285989608416.0,1732408734192.0,553580874224.0,23418409064.0,12608915431.0,12608915431.0,,21232381018.0,24025275143.0,517868885531.0,4166858349.0,1129766199.0,3037092150.0,520905977681.0,70783816673.0,1677469267.0,451799630275.0,450502282145.0,,3423.0,
2,2008,2679862990517.0,38757983242.0,2641105007275.0,2061805969820.0,579299037455.0,33896075901.0,32309430266.0,32309430266.0,,26492542645.0,40075109059.0,451926300797.0,5295814798.0,1359490452.0,3936324346.0,459381699092.0,65034108012.0,-1928361486.0,396275952566.0,395286249823.0,,2880.0,
3,2008,1652030943101.0,37271313394.0,1614759629707.0,1304317596960.0,310442032747.0,36800353624.0,,,,19653435328.0,32314604813.0,266084779135.0,8487417355.0,926885618.0,7560531737.0,277498403923.0,43685333536.0,-1676242192.0,235489312579.0,234315781298.0,,1307.0,
4,2008,1856335074307.0,43141772587.0,1813193301720.0,2005447635941.0,-192254334221.0,62794905993.0,16483036927.0,16483036927.0,,35168855050.0,40803423286.0,-246094686206.0,17064456800.0,13753978184.0,3310478616.0,-244535618463.0,-16328481503.0,3679818952.0,-231886955912.0,-232652691879.0,,,
1,2009,1612249068838.0,25466546840.0,1586782521998.0,1139824475667.0,446958046331.0,18065621384.0,6257153481.0,6257153481.0,,21487520378.0,27602966624.0,352609334761.0,5116368651.0,299937934.0,4816430717.0,358773220855.0,56017584105.0,1122704626.0,301632932124.0,300826538329.0,,1532.0,
2,2009,2063386686450.0,33304078769.0,2030082607681.0,1547188232576.0,482894375105.0,57337756925.0,12217784234.0,12217784234.0,,25006067012.0,34506090152.0,447217845355.0,2712185809.0,1422781625.0,1289404184.0,449463829919.0,71226255467.0,7339308921.0,370898265531.0,368712903295.0,,,
3,2009,2146847551098.0,31148125301.0,2115699425797.0,1576630891730.0,539068534067.0,22068485658.0,21040193888.0,21040193888.0,,27583864169.0,46249809318.0,412250605243.0,4855238589.0,1760357997.0,3094880592.0,417423301934.0,59264178717.0,-442727603.0,358601850820.0,358141822046.0,,1824.0,
4,2009,2417867120781.0,35338759003.0,2382528361778.0,1875741648411.0,506786713367.0,34223436255.0,,,,45935552226.0,80883044538.0,305035339530.0,17451425179.0,11964271136.0,5487154043.0,298904709053.0,65243943331.0,-113509332.0,233774275054.0,238335223703.0,,1214.0,
1,2010,2556940441541.0,38837828768.0,2518102612773.0,2054898098936.0,463204513837.0,35498192943.0,60721743046.0,60721743046.0,,36565462349.0,51277173760.0,322564445248.0,3821645371.0,1823276546.0,1998368825.0,334571205107.0,50953488439.0,874184473.0,282743532195.0,278086169546.0,,1416.0,
2,2010,3394595646671.0,48753897344.0,3345841749327.0,2798560239290.0,547281510037.0,50892665762.0,84113148101.0,84113148101.0,,39194656891.0,59442448644.0,362183842604.0,206354636960.0,203322656797.0,3031980163.0,397012862807.0,54076255190.0,-5886443006.0,348823050623.0,341741735463.0,,1160.0,
3,2010,3981282600132.0,65394603159.0,3915887996973.0,3280198946810.0,635689050163.0,48280107721.0,125352252429.0,125352252429.0,,49338502238.0,77103276179.0,359321657086.0,24863281557.0,25515744489.0,-652462932.0,360677717920.0,32415286826.0,-448636494.0,328711067588.0,324172452499.0,,1101.0,
4,2010,4559899042991.0,72647585704.0,4487251457287.0,3674790083921.0,812461373366.0,70040504905.0,142903045220.0,142903045220.0,,54193629249.0,86671198236.0,471652600530.0,21736235614.0,23699245761.0,-1963010147.0,471839030578.0,70807563488.0,-13744025707.0,414775492797.0,403797469619.0,,1340.0,
1,2011,4798559620690.0,51053103149.0,4747506517541.0,3758058131642.0,989448385899.0,114978440446.0,159227531186.0,159227531186.0,,44297324434.0,84798180392.0,658324301275.0,18497347197.0,21676943254.0,-3179596057.0,633105817134.0,80930810787.0,-989705512.0,553164711859.0,526349145749.0,,1656.0,
2,2011,4570212308056.0,60790421840.0,4509421886216.0,3704225560445.0,805196325771.0,107649808343.0,205545294151.0,205545294151.0,,71318502594.0,90988825341.0,525086307533.0,34301925545.0,35782503453.0,-1480577908.0,525665114945.0,45833519975.0,5520108747.0,474311486223.0,455741543196.0,,1434.0,
3,2011,4237566152863.0,91618128255.0,4145948024608.0,3580211636542.0,565736388066.0,52702346106.0,222454570924.0,222454570924.0,,52184762254.0,90174171910.0,157001483079.0,31100245128.0,34864230093.0,-3763984965.0,153233627809.0,42122157407.0,287746322.0,110823724079.0,101945324271.0,,321.0,
4,2011,4511616497333.0,79303587618.0,4432312909715.0,3861717194563.0,570595715151.0,78880623716.0,327971851440.0,327971851440.0,,47303863793.0,139106652265.0,178902214215.0,33911293833.0,37088834436.0,-3177540603.0,175734219409.0,40423150561.0,-7767482532.0,143078551379.0,136934343583.0,,431.0,
1,2012,4143971320233.0,58249940780.0,4085721379453.0,3539010490529.0,546710888924.0,21986793467.0,175876088450.0,175876088450.0,,38131045567.0,88406389781.0,251752826789.0,35721815966.0,43128509640.0,-7406693674.0,244353010392.0,44403993294.0,-99579258.0,200048596355.0,195294231012.0,,559.0,
