Quý,Năm,Doanh thu bán hàng và cung cấp dịch vụ,2. Các khoản giảm trừ doanh thu,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),4. Giá vốn hàng bán,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),6. Doanh thu hoạt động tài chính,7. Chi phí tài chính, Trong đó: Chi phí lãi vay,"8. Phần lãi lỗ trong công ty liên doanh, liên kết",9. Chi phí bán hàng,10. Chi phí quản lý doanh nghiệp,11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},12. Thu nhập khác,13. Chi phí khác,14. Lợi nhuận khác(40=31-32),15. Tổng lợi nhuận kế toán trước thuế(50=30+40),16. Chi phí thuế TNDN hiện hành,17. Chi phí thuế TNDN hoãn lại,18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),19. Lợi nhuận sau thuế công ty mẹ,20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,21. Lãi cơ bản trên cổ phiếu(),22. Lãi suy giảm trên cổ phiếu ()
1,2008,62798781793.0,,62798781793.0,14962440829.0,47836340964.0,43964632068.0,,,,2560696719.0,17839093742.0,43843960803.0,1805327796.0,563673918.0,1241653878.0,45085614681.0,6772147700.0,,38313466981.0,38352091769.0,,,
2,2008,64585429647.0,,64585429647.0,16369404858.0,48216024789.0,116843160708.0,8704136989.0,8704136989.0,,6962143202.0,18111705264.0,32829403537.0,19042987276.0,5409382539.0,13633604737.0,46463008274.0,7718397136.0,,38744611138.0,39943381469.0,,,
3,2008,76624535356.0,,76624535356.0,15187759687.0,61436775669.0,76546259134.0,63569705193.0,63569705193.0,,5505993747.0,22908432612.0,45998903251.0,3198851541.0,3473664140.0,-274812599.0,45724090652.0,6781642245.0,,38942448407.0,37469183532.0,,,
4,2008,74390568161.0,,74390568161.0,13942194781.0,60448373380.0,87735264387.0,62185844835.0,62185844835.0,,12132997869.0,58805770287.0,15059024776.0,814154796.0,125325403.0,688829393.0,15747854169.0,9652956483.0,,6094897686.0,6266186413.0,,,
1,2009,61113201638.0,,61113201638.0,13271369445.0,47841832193.0,67037328077.0,,,,1846627187.0,31980624196.0,15734045985.0,484831365.0,37701494.0,447129871.0,16132912752.0,5915179498.0,,10217733254.0,11562949869.0,,,
2,2009,62569869999.0,,62569869999.0,15496863180.0,47073006819.0,108226968706.0,,,,1917015978.0,24838014128.0,74130294770.0,2389029550.0,2301706642.0,87322908.0,78921391592.0,14829023568.0,,64092368024.0,55034439200.0,,610.0,
3,2009,69792134537.0,,69792134537.0,22111106633.0,47681027904.0,145087759631.0,,,,2059230102.0,27255893911.0,122256335503.0,1465053095.0,1880862838.0,-415809743.0,125850648192.0,30188881164.0,,95661767028.0,95780841945.0,,574.0,
4,2009,1766613326993.0,,1766613326993.0,563705483402.0,1202907843591.0,122584717160.0,,,,5373340156.0,29312500229.0,890609125817.0,2068445931.0,-1087293082.0,3155739013.0,896845648476.0,208164811283.0,,688680837193.0,616853773434.0,,3643.0,
1,2010,104359229566.0,,104359229566.0,26895195494.0,77464034072.0,177985105692.0,,,,7079706259.0,38387872536.0,58635724450.0,64337855181.0,58666772072.0,5671083109.0,56308437066.0,18094483189.0,,38213953877.0,33326636066.0,,185.0,
2,2010,183273552648.0,,183273552648.0,56102936201.0,127170616447.0,304499955603.0,146583015013.0,146583015013.0,,1771453475.0,41666651187.0,128519282702.0,5347279999.0,6382059840.0,-1034779841.0,116996267540.0,9865976124.0,23145374496.0,83984916920.0,105370434200.0,,315.0,
